x,y,z,yaw,pitch,roll,action
-191.0,2903.0,3975.0,161.993896,-24.593958,-0.636972,Neutral
-214.0,1331.0,3567.0,161.865082,-24.254021,-0.337259,Neutral
1051.0,-3236.0,3058.0,162.024902,-24.138683,-0.520372,Neutral
-634.0,-22183.0,1890.0,161.6306,-24.313139,-1.083617,Neutral
-6369.0,-30956.0,-430.0,159.337601,-24.487976,-2.164742,Neutral
-6572.0,-27606.0,-471.0,159.896973,-24.854719,-6.97689,Neutral
-2991.0,-17137.0,657.0,162.688965,-24.976995,-10.546425,Neutral
-2389.0,-12100.0,1170.0,164.816071,-25.010595,-13.426365,Neutral
-1766.0,-7033.0,1775.0,168.156769,-25.03653,-13.877651,Neutral
-2118.0,-3450.0,1902.0,170.42868,-25.027725,-14.047849,Neutral
-3367.0,3049.0,2788.0,174.007507,-24.793713,-14.101141,Neutral
-4137.0,7380.0,3663.0,176.411804,-24.270552,-14.479332,Neutral
-4596.0,12787.0,5779.0,179.947388,-24.046118,-14.765619,Neutral
-4725.0,14307.0,7174.0,-177.690643,-24.041935,-14.632073,Neutral
-4428.0,13689.0,8907.0,-174.370087,-24.199932,-13.820286,Neutral
-3868.0,12541.0,9959.0,-172.508072,-24.483116,-11.935135,Neutral
-2397.0,7820.0,11117.0,-170.204727,-24.563099,-10.756451,Neutral
-900.0,6583.0,12352.0,-169.015961,-24.389021,-9.986028,Neutral
2751.0,-4040.0,15254.0,-168.586548,-24.152281,-11.260571,Neutral
-188.0,-11206.0,14661.0,-170.962387,-23.624388,-15.048693,Neutral
-5976.0,-17093.0,12307.0,-175.588394,-23.078089,-16.595926,Neutral
-4953.0,-15823.0,12143.0,-177.300781,-22.699547,-16.348875,Neutral
-2802.0,-7086.0,11932.0,-179.219635,-23.207989,-15.411246,Neutral
-2007.0,-1413.0,11346.0,179.86644,-24.455111,-13.629459,Neutral
-1683.0,4319.0,10705.0,178.760162,-25.026653,-12.329508,Neutral
-882.0,5164.0,9221.0,178.058395,-25.365753,-9.848629,Neutral
277.0,5246.0,7070.0,177.099121,-25.290892,-7.801064,Neutral
-18.0,4588.0,5980.0,176.482117,-24.688873,-5.149459,Neutral
-403.0,4071.0,4539.0,175.663467,-23.977842,-4.151166,Neutral
-435.0,2641.0,4069.0,175.311172,-22.685112,-3.752978,Neutral
263.0,-3643.0,2356.0,175.154404,-21.777195,-3.914209,Neutral
1818.0,-12379.0,1066.0,175.180634,-20.616594,-4.176862,Neutral
2699.0,-26698.0,899.0,174.161301,-20.193665,-4.720359,Neutral
2292.0,-27056.0,91.0,173.443787,-20.212757,-7.961498,Neutral
3055.0,-23861.0,-427.0,174.243637,-20.351732,-10.939396,Neutral
2699.0,-18702.0,-807.0,175.321869,-20.274303,-13.867756,Neutral
1316.0,-8013.0,-41.0,177.743454,-20.309246,-14.735592,Neutral
360.0,-1361.0,829.0,179.751465,-20.412315,-15.395331,Neutral
-1115.0,5225.0,2255.0,-177.037186,-20.34758,-15.55724,Neutral
-2051.0,8609.0,3567.0,-174.982117,-20.09409,-15.723132,Neutral
-3275.0,11530.0,5885.0,-172.306458,-19.982582,-16.05582,Neutral
-4653.0,12364.0,7867.0,-170.906021,-19.936024,-16.646898,Neutral
-5259.0,12340.0,9729.0,-169.080872,-19.988293,-16.684971,Neutral
-4341.0,11792.0,11107.0,-167.691284,-20.204908,-16.086843,Neutral
-1475.0,12993.0,13041.0,-165.384109,-20.300533,-15.91683,Neutral
220.0,14076.0,14933.0,-163.855011,-19.981184,-16.81831,Neutral
-9.0,287.0,17561.0,-163.819519,-19.389982,-17.643204,Neutral
-3244.0,-6197.0,16815.0,-166.700439,-18.835682,-18.075232,Neutral
-6344.0,-13747.0,15072.0,-171.100708,-19.070318,-17.921932,Neutral
-6110.0,-14540.0,14129.0,-172.822037,-19.523508,-17.211657,Neutral
-4699.0,-8876.0,12445.0,-174.977325,-19.885141,-16.47368,Neutral
-3414.0,-4336.0,11422.0,-176.04425,-20.664337,-14.5667,Neutral
-2935.0,653.0,10374.0,-177.368942,-21.185802,-12.736385,Neutral
-2158.0,1494.0,8746.0,-178.257523,-21.766403,-9.114821,Neutral
