Type,Time,x,y,z,Action
Gyro,0.1786212,-27.87697,-21.928011,-11.424898,Neutral
Accel,0.1786212,-3996.0,-2506.0,9499.0,Neutral
Gyro,0.1886818,-27.951544,-21.999256,-11.378624,Neutral
Accel,0.2013401,-4143.0,-2858.0,9419.0,Neutral
Gyro,0.2183978,-27.991753,-22.098726,-11.29147,Neutral
Accel,0.238263,-4153.0,-2890.0,9574.0,Neutral
Gyro,0.238263,-28.035551,-22.138733,-11.254321,Neutral
Accel,0.2537326,-4072.0,-2744.0,9409.0,Neutral
Gyro,0.2712052,-28.053211,-22.167459,-11.265108,Neutral
Accel,0.2884792,-4059.0,-2425.0,9533.0,Neutral
Gyro,0.2884792,-28.053381,-22.172173,-11.276917,Neutral
Accel,0.3035869,-3946.0,-2435.0,9445.0,Neutral
Gyro,0.3201558,-28.066305,-22.173414,-11.284171,Neutral
Accel,0.337693,-3988.0,-2634.0,9249.0,Neutral
Gyro,0.337693,-28.090595,-22.18869,-11.280348,Neutral
Accel,0.3742622,-4069.0,-2741.0,9430.0,Neutral
Gyro,0.3742622,-28.112059,-22.246403,-11.236532,Neutral
Accel,0.3919157,-4058.0,-2648.0,9434.0,Neutral
Gyro,0.3919157,-28.142353,-22.289997,-11.227738,Neutral
Accel,0.4024266,-3988.0,-2589.0,9330.0,Neutral
Gyro,0.4161108,-28.148199,-22.355371,-11.220588,Neutral
Accel,0.4341092,-4004.0,-2557.0,9633.0,Neutral
Gyro,0.4341092,-28.16803,-22.41017,-11.211823,Neutral
Accel,0.4681735,-4033.0,-2562.0,9477.0,Neutral
Gyro,0.4681735,-28.184381,-22.488201,-11.205128,Neutral
Accel,0.4837909,-3970.0,-2521.0,9568.0,Neutral
Gyro,0.4837909,-28.219416,-22.530338,-11.195889,Neutral
Accel,0.5181303,-3958.0,-2668.0,9635.0,Neutral
Gyro,0.5181303,-28.234932,-22.592945,-11.204995,Neutral
Accel,0.5333778,-3952.0,-2703.0,9528.0,Neutral
Gyro,0.5333778,-28.272568,-22.628363,-11.197083,Neutral
Accel,0.5869274,-4041.0,-2459.0,9572.0,Neutral
Gyro,0.5869274,-28.298279,-22.655455,-11.202028,Neutral
Accel,0.5869274,-4058.0,-2507.0,9400.0,Neutral
Gyro,0.5869274,-28.342131,-22.675224,-11.21677,Neutral
Accel,0.6120522,-4026.0,-2451.0,9586.0,Neutral
Gyro,0.6120522,-28.374882,-22.704433,-11.189641,Neutral
Accel,0.6327475,-3978.0,-2618.0,9447.0,Neutral
Gyro,0.6327475,-28.438831,-22.733011,-11.170954,Neutral
Accel,0.6514864,-3777.0,-2612.0,9476.0,Neutral
Gyro,0.6677077,-28.477821,-22.785797,-11.144168,Neutral
Accel,0.6852165,-3839.0,-2960.0,9380.0,Neutral
Gyro,0.6852165,-28.565313,-22.823799,-11.131749,Neutral
Accel,0.7168603,-3580.0,-3730.0,9092.0,Neutral
Gyro,0.7168603,-28.646591,-22.878723,-11.138185,Neutral
Accel,0.7321331,-3438.0,-3785.0,8766.0,Neutral
Gyro,0.7495296,-28.716362,-22.931616,-11.176664,Neutral
Accel,0.7856149,-3540.0,-3106.0,9027.0,Neutral
