x,y,z,yaw,pitch,roll,action
-5405.0,-12556.0,5219.0,-4.489933,-15.647576,-12.742016,Neutral
-1491.0,-11651.0,6432.0,-5.984746,-15.734477,-13.517541,Neutral
-679.0,-9764.0,6230.0,-6.671581,-17.155443,-14.379382,Neutral
-863.0,-2351.0,6926.0,-7.078979,-17.852789,-14.415801,Neutral
-793.0,2434.0,7841.0,-7.109452,-18.620281,-14.582116,Neutral
-139.0,5995.0,8757.0,-7.323311,-19.194775,-14.643935,Neutral
-14.0,5420.0,8649.0,-7.714449,-20.119781,-14.020416,Neutral
-481.0,2644.0,7554.0,-8.659409,-20.593067,-13.218258,Neutral
-998.0,551.0,6750.0,-9.204417,-20.987747,-12.279493,Neutral
-233.0,-1292.0,5559.0,-9.563262,-21.15329,-12.433899,Neutral
81.0,-621.0,5557.0,-9.28559,-21.324568,-14.087199,Neutral
590.0,-508.0,5314.0,-8.564541,-21.220909,-15.900064,Neutral
639.0,-1631.0,5464.0,-8.283954,-20.993855,-18.554461,Neutral
-68.0,-3561.0,5892.0,-8.122645,-21.016121,-19.769066,Neutral
-924.0,-5665.0,6292.0,-8.203506,-21.467188,-20.385561,Neutral
-3368.0,-10056.0,6604.0,-9.053294,-21.955631,-20.035448,Neutral
-1815.0,-8141.0,7371.0,-9.84003,-23.029509,-19.515944,Neutral
-178.0,-1968.0,7528.0,-10.020206,-23.823441,-19.431488,Neutral
-61.0,2596.0,7229.0,-9.696571,-23.888237,-18.875614,Neutral
-484.0,7360.0,7373.0,-9.154778,-23.233768,-18.218338,Neutral
44.0,8720.0,6599.0,-8.910333,-22.044603,-17.003918,Neutral
-810.0,9166.0,6069.0,-8.490325,-21.196787,-15.986559,Neutral
-2090.0,8010.0,5954.0,-8.133645,-19.55267,-14.34372,Neutral
-1275.0,4937.0,6549.0,-7.682891,-18.47757,-13.37763,Neutral
-576.0,1463.0,6536.0,-7.24223,-17.182549,-12.11808,Neutral
-594.0,-4105.0,6681.0,-6.533112,-16.238884,-11.575384,Neutral
-3734.0,-7252.0,7009.0,-6.220288,-14.554162,-12.082164,Neutral
-6351.0,-11510.0,7431.0,-6.599802,-13.714476,-13.108965,Neutral
-5259.0,-11775.0,8218.0,-6.968436,-13.91673,-14.021862,Neutral
-4723.0,-10763.0,8581.0,-7.280065,-14.811915,-13.912597,Neutral
-4245.0,-9292.0,7784.0,-7.621064,-16.15457,-13.281632,Neutral
1217.0,-3871.0,7285.0,-7.712249,-16.962782,-12.977289,Neutral
9455.0,-3808.0,7267.0,-7.343729,-18.142508,-12.605529,Neutral
23674.0,-8557.0,8456.0,-6.45175,-18.537832,-11.957849,Neutral
28723.0,-7846.0,7233.0,-6.151245,-18.023426,-11.317516,Neutral
27498.0,-3028.0,2907.0,-5.155582,-16.988749,-11.589231,Neutral
21710.0,3934.0,940.0,-4.352364,-13.844193,-12.584866,Neutral
11601.0,7937.0,1029.0,-4.594508,-11.435,-13.1503,Neutral
5178.0,5437.0,910.0,-5.920663,-9.351481,-13.070343,Neutral
-8941.0,4831.0,813.0,-8.764639,-9.310511,-13.256666,Neutral
-16675.0,9424.0,1067.0,-11.221966,-11.122966,-17.239277,Neutral
-28832.0,20976.0,1246.0,-17.419025,-13.899675,-23.136898,Neutral
-27144.0,16766.0,-952.0,-22.814985,-20.076349,-33.424778,Shoot
