x,y,z,yaw,pitch,roll,action
-3787.0,-1609.0,10128.0,-29.387768,-24.227049,-11.788448,Neutral
-3700.0,-1280.0,10509.0,-29.653027,-24.818283,-11.722014,Neutral
-3795.0,-1115.0,10519.0,-30.100466,-25.185133,-11.618855,Neutral
-4109.0,-1937.0,10781.0,-30.46015,-25.659847,-11.501369,Neutral
-4067.0,-2400.0,10767.0,-31.109852,-25.93154,-11.448696,Neutral
-4213.0,-1984.0,10628.0,-31.543064,-26.338106,-11.366731,Neutral
-4182.0,-1520.0,10467.0,-32.247795,-26.596027,-11.288589,Neutral
-4878.0,-1721.0,10334.0,-32.782486,-26.942232,-11.209964,Neutral
-4795.0,-2083.0,10252.0,-33.738659,-27.18709,-11.095469,Neutral
-4520.0,-1565.0,10050.0,-34.475967,-27.611338,-10.762963,Neutral
-3895.0,-1199.0,9480.0,-35.540512,-27.954496,-10.441103,Neutral
-4132.0,-690.0,8652.0,-36.281765,-28.424248,-9.847132,Neutral
-5038.0,-2787.0,8073.0,-37.471386,-28.692259,-9.522696,Neutral
-4773.0,-6996.0,7346.0,-38.389107,-28.995789,-9.313461,Neutral
-4697.0,-9190.0,6682.0,-39.674305,-29.234337,-9.262609,Neutral
-4315.0,-10620.0,6076.0,-40.187057,-29.672234,-9.289814,Neutral
-3893.0,-10368.0,6297.0,-40.355583,-29.850868,-9.802469,Neutral
-2619.0,-8506.0,5861.0,-40.163357,-30.002781,-11.873415,Neutral
-2513.0,-7095.0,5894.0,-39.475616,-30.070461,-13.757402,Neutral
-2274.0,-4117.0,5939.0,-38.770195,-29.93965,-16.190659,Neutral
-1774.0,-2533.0,5981.0,-37.424351,-29.646173,-17.286011,Neutral
-1791.0,248.0,6581.0,-36.412498,-29.077204,-18.481575,Neutral
-2300.0,2753.0,7197.0,-34.657833,-28.660156,-19.187258,Neutral
-3082.0,4897.0,8203.0,-33.371861,-27.966076,-20.288427,Neutral
-3529.0,5225.0,9044.0,-31.334511,-27.520185,-20.791231,Neutral
-4058.0,4380.0,9938.0,-30.01432,-26.982172,-20.77923,Neutral
-4437.0,3409.0,10120.0,-28.076965,-26.715309,-20.323702,Neutral
-4642.0,2548.0,10746.0,-26.723476,-26.234434,-19.275629,Neutral
-4122.0,1619.0,11759.0,-24.737474,-25.750402,-18.723482,Neutral
-5416.0,-2279.0,11498.0,-23.862631,-24.945242,-19.201759,Neutral
-6998.0,-5276.0,11242.0,-23.442726,-24.463318,-20.098482,Neutral
-6301.0,-6265.0,11519.0,-23.623245,-23.800257,-20.596575,Neutral
-5154.0,-4086.0,11696.0,-24.117283,-23.621599,-20.434008,Neutral
-4068.0,-325.0,11109.0,-24.401834,-23.939634,-20.296387,Neutral
-3272.0,1551.0,10868.0,-24.845684,-24.298204,-20.323521,Neutral
-2412.0,4295.0,10307.0,-25.148808,-24.781115,-19.860989,Neutral
-1860.0,4978.0,9997.0,-25.691181,-25.090708,-19.185658,Neutral
-1242.0,3761.0,9286.0,-26.088591,-25.555683,-17.827097,Neutral
-819.0,2659.0,8717.0,-26.731058,-25.843925,-16.748663,Neutral
-735.0,1464.0,7758.0,-27.170454,-26.229897,-15.128824,Neutral
-631.0,154.0,7147.0,-27.579145,-26.387835,-14.32113,Neutral
-398.0,-1575.0,6527.0,-27.683107,-26.413658,-13.817784,Neutral
101.0,-2970.0,5895.0,-27.714376,-26.348722,-14.011156,Neutral
156.0,-7136.0,5549.0,-27.499126,-26.271372,-15.077792,Neutral
-757.0,-11533.0,5140.0,-26.959248,-26.166164,-16.074928,Neutral
-276.0,-13039.0,4060.0,-27.088787,-25.82736,-18.030287,Neutral
808.0,-10745.0,3908.0,-27.432276,-25.767515,-19.687002,Neutral
2321.0,-6256.0,4360.0,-27.147907,-25.87569,-21.944363,Neutral
1762.0,-2919.0,4705.0,-26.325603,-25.728512,-22.817976,Neutral
1850.0,985.0,4580.0,-25.420908,-25.303722,-22.762234,Neutral
735.0,3847.0,4365.0,-23.419159,-24.838623,-21.892492,Neutral
-594.0,10915.0,4508.0,-21.825001,-23.716621,-20.151314,Neutral
-2863.0,15777.0,5342.0,-18.999796,-22.704304,-19.468552,Neutral
-3991.0,21920.0,6894.0,-16.898973,-20.908627,-19.526268,Neutral
-5019.0,23470.0,7634.0,-14.360418,-19.668957,-19.876141,Neutral
-5591.0,27582.0,7211.0,-13.529002,-18.567438,-19.57518,Neutral
-8369.0,26687.0,7139.0,-13.811018,-18.471643,-18.311039,Neutral
-11699.0,22100.0,7059.0,-15.035475,-19.277781,-14.932572,Neutral
-15578.0,17427.0,5996.0,-21.207737,-20.4666,-12.251103,Neutral
-25273.0,10737.0,2789.0,-29.427649,-23.855116,-8.140183,Crouch
-24939.0,4538.0,4197.0,-47.376305,-26.376276,-4.485165,Crouch
-25005.0,12752.0,5266.0,-62.027802,-28.546284,2.15706,Crouch
-26196.0,-15782.0,6594.0,-88.199348,-28.281425,6.477275,Crouch
-27253.0,-22324.0,914.0,-102.161095,-23.648937,16.214033,Crouch
-27887.0,-19877.0,4589.0,-113.087097,-19.671341,22.485985,Crouch
-27773.0,-1554.0,10906.0,-117.005463,-17.334806,22.236414,Crouch
-26835.0,-6510.0,6585.0,-121.647881,-17.750044,16.642509,Crouch
-26077.0,-10775.0,3774.0,-122.92939,-20.976959,7.598702,Crouch
-25294.0,-17870.0,2209.0,-122.441956,-24.102129,7.248987,Crouch
-24993.0,-23676.0,-860.0,-120.279739,-27.141514,10.803078,Crouch
-24331.0,-20957.0,-1861.0,-113.666977,-28.32806,13.204218,Crouch
-23710.0,-15666.0,-3742.0,-107.232986,-30.993572,12.760225,Crouch
-22933.0,-13027.0,-4191.0,-95.226784,-33.565964,9.099196,Crouch
-22730.0,-5367.0,-2946.0,-86.321915,-36.888329,1.072562,Crouch
-22941.0,2860.0,-1892.0,-72.129295,-37.782143,-4.732635,Crouch
-23380.0,11539.0,962.0,-62.240501,-36.857086,-13.824538,Crouch
-20222.0,19113.0,3676.0,-49.183418,-34.959476,-19.523731,Neutral
-15408.0,23036.0,7302.0,-42.288437,-31.399384,-25.70689,Neutral
-13664.0,24529.0,9320.0,-33.258495,-29.620506,-28.231247,Neutral
-9466.0,24071.0,10478.0,-27.782314,-27.430836,-29.805155,Neutral
-7136.0,23920.0,10572.0,-19.93651,-26.271467,-29.415785,Neutral
-3198.0,23099.0,10483.0,-14.876517,-24.93717,-27.16234,Neutral
-1387.0,21868.0,10145.0,-7.819663,-24.085325,-25.0958,Neutral
1365.0,15278.0,8885.0,-4.047763,-22.752739,-21.791908,Neutral
1236.0,9434.0,7622.0,-1.049642,-21.850933,-19.679789,Neutral
2291.0,-1859.0,7539.0,-1.191306,-20.378288,-16.509287,Neutral
4306.0,-6187.0,8432.0,-2.274819,-19.273651,-14.3032,Neutral
6300.0,-6466.0,10348.0,-2.440506,-18.027687,-11.620936,Neutral
4585.0,-5648.0,10271.0,-3.00742,-17.699976,-11.408813,Neutral
1773.0,-5813.0,9370.0,-3.780323,-17.239212,-13.230821,Neutral
767.0,-3949.0,9253.0,-5.309937,-16.758907,-14.555662,Neutral
-234.0,-952.0,8425.0,-6.528844,-16.566431,-15.479138,Neutral
-134.0,1831.0,8299.0,-7.944258,-16.967497,-15.447841,Neutral
-761.0,4389.0,7710.0,-8.541647,-17.861891,-14.540463,Neutral
-560.0,4668.0,7418.0,-9.077776,-18.426561,-13.616725,Neutral
-61.0,4120.0,7225.0,-9.388505,-19.004969,-12.219104,Neutral
-62.0,3179.0,7737.0,-9.752879,-19.345098,-11.487105,Neutral
-501.0,626.0,8676.0,-10.123748,-19.776197,-11.179659,Neutral
-117.0,-1343.0,9665.0,-10.897248,-20.099062,-11.601615,Neutral
3210.0,-4326.0,10214.0,-11.401131,-20.772476,-12.427426,Neutral
3706.0,-7486.0,9982.0,-11.699929,-21.432211,-12.840154,Neutral
2925.0,-11624.0,8971.0,-11.853345,-22.248753,-13.008015,Neutral
2531.0,-11853.0,8632.0,-12.401456,-22.418724,-12.974456,Neutral
3038.0,-8938.0,8087.0,-12.783512,-22.531073,-13.560172,Neutral
3370.0,-5518.0,7150.0,-12.753151,-22.570398,-14.302479,Neutral
2482.0,722.0,6440.0,-12.40977,-22.400099,-15.069151,Neutral
1677.0,4939.0,6409.0,-11.659027,-22.010221,-15.316113,Neutral
345.0,8655.0,6801.0,-11.116193,-20.958469,-15.714795,Neutral
-438.0,9496.0,6973.0,-10.40517,-20.141115,-15.891673,Neutral
-884.0,8804.0,7985.0,-10.115646,-19.108629,-15.488813,Neutral
-955.0,7303.0,8947.0,-10.073859,-18.659006,-14.659698,Neutral
-1151.0,3440.0,10269.0,-10.258247,-18.374052,-12.854572,Neutral
-707.0,-714.0,11429.0,-10.716062,-18.325087,-11.48631,Neutral
303.0,-7854.0,12647.0,-11.116526,-18.198709,-9.525322,Neutral
0.0,-11275.0,12526.0,-12.095918,-18.033709,-8.66113,Neutral
-1417.0,-13385.0,11762.0,-12.645072,-17.277395,-8.345038,Neutral
-2094.0,-11741.0,11715.0,-12.530787,-16.24383,-8.689672,Neutral
-2596.0,-10304.0,10820.0,-12.423298,-14.43496,-9.866755,Neutral
-3137.0,-7739.0,9872.0,-12.474739,-13.503815,-10.727585,Neutral
-3676.0,-2340.0,8498.0,-12.534797,-12.601565,-11.174789,Neutral
-4086.0,856.0,7993.0,-12.383701,-12.226773,-10.987542,Neutral
-4307.0,4502.0,7240.0,-12.139664,-11.819818,-10.334159,Neutral
-4348.0,5860.0,6864.0,-11.727519,-11.64274,-9.806395,Neutral
-3957.0,6800.0,6412.0,-11.50745,-11.526315,-8.982045,Neutral
-4245.0,5797.0,6325.0,-11.262998,-11.550144,-8.454744,Neutral
-4361.0,3728.0,5961.0,-11.216279,-11.678621,-7.837453,Neutral
-3028.0,1215.0,5682.0,-11.406549,-11.772138,-7.735717,Neutral
-1794.0,-3921.0,7164.0,-11.426018,-11.990689,-8.121428,Neutral
-1417.0,-7768.0,8341.0,-11.388557,-12.23323,-8.638573,Neutral
-2197.0,-12818.0,8505.0,-11.684438,-12.838309,-9.93972,Neutral
-1207.0,-12731.0,8505.0,-12.683152,-13.535383,-10.875355,Neutral
