x,z,yaw,pitch,roll,action
-23167.0,1863.0,-13.456189,-12.229341,-33.28112,Shoot_Forward
-27243.0,-1963.0,-23.917902,-19.706766,-38.376633,Shoot_Forward
-24845.0,83.0,-30.31702,-28.920057,-43.934906,Shoot_Forward
-23639.0,11293.0,-39.449432,-33.861408,-49.268681,Shoot_Forward
-16505.0,18390.0,-43.603874,-41.038734,-62.083069,Shoot_Forward
-16364.0,19306.0,-44.262199,-44.599236,-68.24511,Shoot_Forward
-18497.0,14382.0,-40.772568,-45.685474,-64.431755,Shoot_Backward
-21577.0,6364.0,-33.021755,-43.080925,-56.817337,Shoot_Backward
-14670.0,4044.0,-28.504412,-36.251099,-49.044479,Shoot_Backward
-5791.0,1641.0,-22.449284,-31.789169,-47.800461,Shoot_Backward
-1450.0,792.0,-19.313047,-25.742952,-44.434017,Shoot_Backward
6791.0,7.0,-14.988474,-22.439598,-38.617989,Shoot_Backward
3943.0,-2397.0,-12.60046,-17.364378,-28.86553,Shoot_Backward
3983.0,-6723.0,-11.114717,-13.92828,-25.461748,Shoot_Backward
3023.0,-7828.0,-11.445406,-9.945924,-22.919672,Shoot_Backward
24523.0,-2745.0,-6.750961,-20.891037,-20.76292,Shoot_Forward
19038.0,1615.0,-3.870721,-18.38134,-24.189295,Shoot_Forward
13439.0,5147.0,-2.964968,-16.364998,-28.075922,Shoot_Forward
-821.0,7985.0,-5.744793,-16.533791,-30.230232,Shoot_Forward
-12362.0,5956.0,-10.650042,-18.930525,-34.317924,Shoot_Forward
-26721.0,3224.0,-18.893717,-21.65756,-37.446064,Shoot_Forward
-25283.0,1890.0,-24.54343,-27.181713,-43.216278,Shoot_Forward
-24248.0,3074.0,-32.088917,-31.333126,-48.342663,Shoot_Forward
-22980.0,9402.0,-35.131695,-36.685043,-56.310547,Shoot_Forward
-20802.0,18029.0,-36.538731,-38.818626,-60.688526,Shoot_Forward
-16779.0,19519.0,-35.192135,-40.594868,-61.894966,Shoot_Forward
-14654.0,15442.0,-30.38669,-40.6264,-58.550533,Shoot_Backward
-20542.0,2614.0,-36.454155,-23.486433,-8.069315,Crouch_Forward
-25690.0,126.0,-52.942627,-25.593132,-5.171858,Crouch_Forward
-25700.0,-1339.0,-85.665825,-25.553385,0.902117,Crouch_Forward
-27111.0,3377.0,-106.361038,-20.198866,15.831156,Crouch_Forward
-28305.0,-1045.0,-117.627342,-15.806427,23.836029,Crouch_Forward
-27802.0,9069.0,-119.368103,-17.644156,25.400415,Crouch_Backward
-17873.0,15771.0,-121.290939,-21.32091,21.687302,Crouch_Backward
-11319.0,11033.0,-120.386375,-29.529041,17.425215,Crouch_Backward
-14515.0,8138.0,-116.941681,-33.250126,18.678181,Crouch_Backward
-21106.0,6094.0,-114.190788,-34.391838,19.974361,Crouch_Backward
-23629.0,3028.0,-109.137054,-33.905785,19.131048,Crouch_Backward
-23531.0,1633.0,-105.254204,-34.318317,14.389406,Crouch_Backward
-23249.0,-2168.0,-98.077751,-35.524551,9.688491,Crouch_Backward
-23033.0,-3717.0,-91.966621,-36.454548,3.305673,Crouch_Backward
-23106.0,-2786.0,-81.13224,-36.136692,-1.039113,Crouch_Backward
-23450.0,-754.0,-73.920822,-34.660454,-7.952618,Crouch_Backward
-22381.0,1074.0,-64.720329,-33.231197,-11.648451,Crouch_Backward
-18377.0,1866.0,-59.332314,-30.962234,-14.344495,Crouch_Backward
-12838.0,689.0,-7.873308,-10.856431,-14.673444,Crouch_Forward
-12025.0,2573.0,-12.647076,-12.586586,-16.277565,Crouch_Forward
-20362.0,924.0,-26.8813,-16.153313,-17.404699,Crouch_Forward
-26546.0,550.0,-40.294231,-22.317589,-13.123739,Crouch_Forward
-25597.0,-2383.0,-65.107368,-25.958506,-6.482006,Crouch_Forward
-25260.0,2704.0,-84.252205,-27.273441,8.967733,Crouch_Forward
-25864.0,-6052.0,-108.710335,-24.920372,22.032707,Crouch_Forward
-25790.0,-407.0,-114.446342,-25.207844,32.697628,Crouch_Forward
-25306.0,12308.0,-120.599365,-27.097616,29.167828,Crouch_Backward
-24654.0,9209.0,-125.552238,-29.686029,23.135845,Crouch_Backward
-24565.0,4977.0,-128.743103,-30.042788,25.725014,Crouch_Backward
-24608.0,5519.0,-128.120697,-29.289263,30.052359,Crouch_Backward
-18669.0,6576.0,-124.662674,-29.441538,30.47563,Crouch_Backward
-13720.0,6813.0,-121.7733,-31.285603,27.662373,Crouch_Backward
-10768.0,6850.0,-117.87188,-32.829132,24.395924,Crouch_Backward
-14042.0,5974.0,-115.624908,-34.086723,19.951099,Crouch_Backward
-17856.0,4283.0,-110.812973,-34.185631,18.227156,Crouch_Backward
-22190.0,3649.0,-105.658325,-35.090992,15.573105,Crouch_Backward
