Type,Time,x,y,z,Action
Accel,0.1578389,-27.000000,-1074.000000,1430.000000,Neutral
Gyro,0.1578389,-100.476608,-34.066498,-10.260916,Neutral
Accel,0.1853164,-82.000000,-1298.000000,1455.000000,Neutral
Gyro,0.1853164,-100.488335,-34.040962,-10.264590,Neutral
Accel,0.2069545,-108.000000,-1228.000000,1633.000000,Neutral
Gyro,0.2194481,-100.472511,-34.027405,-10.306691,Neutral
Accel,0.2463228,-59.000000,-1242.000000,1920.000000,Neutral
Gyro,0.2463228,-100.448296,-34.014133,-10.349150,Neutral
Accel,0.2627163,-90.000000,-1240.000000,1888.000000,Neutral
Gyro,0.2627163,-100.437210,-33.975433,-10.404479,Neutral
Accel,0.2964292,-161.000000,-1265.000000,1897.000000,Neutral
Gyro,0.2964292,-100.404701,-33.937729,-10.446981,Neutral
Accel,0.311898,-227.000000,-1217.000000,1826.000000,Neutral
Gyro,0.311898,-100.379959,-33.828899,-10.544445,Neutral
Accel,0.3465799,-348.000000,-1052.000000,1709.000000,Neutral
Gyro,0.3465799,-100.340660,-33.739124,-10.615910,Neutral
Accel,0.3646652,-432.000000,-756.000000,1730.000000,Neutral
Gyro,0.3646652,-100.305069,-33.580223,-10.696263,Neutral
Accel,0.4005896,-395.000000,-878.000000,1448.000000,Neutral
Gyro,0.4005896,-100.272522,-33.490936,-10.743590,Neutral
Accel,0.4267482,-570.000000,-892.000000,1331.000000,Neutral
Gyro,0.4267482,-100.266731,-33.384712,-10.776511,Neutral
Accel,0.4399496,-402.000000,-791.000000,1190.000000,Neutral
Gyro,0.4399496,-100.254745,-33.311836,-10.787915,Neutral
Accel,0.4660797,-440.000000,-616.000000,1255.000000,Neutral
Gyro,0.4660797,-100.248840,-33.247856,-10.836888,Neutral
Accel,0.4846492,-471.000000,-768.000000,1221.000000,Neutral
Gyro,0.4996905,-100.272148,-33.224834,-10.830043,Neutral
Accel,0.5170256,-359.000000,-773.000000,1479.000000,Neutral
Gyro,0.5170256,-100.287064,-33.217133,-10.785530,Neutral
Accel,0.5342537,-374.000000,-940.000000,1563.000000,Neutral
Gyro,0.5506548,-100.320770,-33.246254,-10.784942,Neutral
Accel,0.5681499,-407.000000,-1058.000000,1588.000000,Neutral
Gyro,0.5681499,-100.332710,-33.277054,-10.738962,Neutral
Accel,0.6076093,-353.000000,-849.000000,1718.000000,Neutral
Gyro,0.6076093,-100.372292,-33.296352,-10.719075,Neutral
Accel,0.6076093,-363.000000,-974.000000,1713.000000,Neutral
Gyro,0.6313872,-100.401520,-33.315369,-10.698997,Neutral
Accel,0.6444182,-448.000000,-986.000000,1689.000000,Neutral
Gyro,0.6444182,-100.433708,-33.305691,-10.670391,Neutral
Accel,0.6594436,-366.000000,-877.000000,1583.000000,Neutral
Gyro,0.6738722,-100.454697,-33.284279,-10.638495,Neutral
Accel,0.6907403,-308.000000,-1053.000000,1585.000000,Neutral
Gyro,0.6907403,-100.502251,-33.269653,-10.619441,Neutral
Accel,0.7134174,-383.000000,-1115.000000,1437.000000,Neutral
Gyro,0.7134174,-100.535500,-33.240952,-10.548632,Neutral
Accel,0.7327215,-429.000000,-1150.000000,1438.000000,Neutral
Gyro,0.7503923,-100.556732,-33.216305,-10.524955,Neutral
Accel,0.7661412,-494.000000,-1154.000000,1393.000000,Neutral
Gyro,0.7661412,-100.559372,-33.202522,-10.522923,Neutral
Accel,0.7844242,-475.000000,-844.000000,1407.000000,Neutral
Gyro,0.8150523,-100.542236,-33.189907,-10.502690,Neutral
Accel,0.8150523,-420.000000,-873.000000,1367.000000,Neutral
Gyro,0.8150523,-100.545609,-33.188774,-10.509593,Neutral
Accel,0.8462292,-433.000000,-1004.000000,1404.000000,Neutral
Gyro,0.8462292,-100.550827,-33.217274,-10.483066,Neutral
Accel,0.862741,-493.000000,-1042.000000,1517.000000,Neutral
Gyro,0.8814529,-100.530983,-33.248974,-10.477640,Neutral
Accel,0.8972814,-468.000000,-1139.000000,1494.000000,Neutral
Gyro,0.8972814,-100.514923,-33.310242,-10.486361,Neutral
Accel,0.9122637,-242.000000,-1072.000000,1228.000000,Neutral
Gyro,0.9270745,-100.472321,-33.355728,-10.482992,Neutral
Accel,0.9432556,-224.000000,-855.000000,1084.000000,Neutral
Gyro,0.9432556,-100.412613,-33.423256,-10.478781,Neutral
Accel,0.9614181,-130.000000,-313.000000,1143.000000,Neutral
Gyro,0.9762234,-100.381310,-33.472687,-10.561389,Neutral
