Type,Time,x,y,z,Action
Accel,0.2216881,-3581.000000,-1428.000000,7980.000000,Neutral
Gyro,0.2216881,-20.152430,-23.996185,-12.462802,Neutral
Accel,0.2382603,-3481.000000,-1398.000000,7962.000000,Neutral
Gyro,0.2382603,-20.153391,-23.989256,-12.407516,Neutral
Accel,0.271994,-3290.000000,-2753.000000,8133.000000,Neutral
Gyro,0.271994,-20.267225,-23.974749,-12.406745,Neutral
Accel,0.2897549,-3619.000000,-3812.000000,7949.000000,Neutral
Gyro,0.2897549,-20.364775,-23.928595,-12.346373,Neutral
Accel,0.3233491,-4253.000000,-4903.000000,7984.000000,Neutral
Gyro,0.3233491,-20.665983,-23.867405,-12.367476,Neutral
Accel,0.3377988,-3865.000000,-4020.000000,8228.000000,Neutral
Gyro,0.3377988,-20.840511,-23.869013,-12.676655,Neutral
Accel,0.3814798,-3284.000000,-2391.000000,8234.000000,Neutral
Gyro,0.3814798,-20.782356,-23.940647,-12.877880,Neutral
Accel,0.3814798,-3059.000000,-1435.000000,8153.000000,Neutral
Gyro,0.3963741,-20.597118,-23.997307,-12.840115,Neutral
Accel,0.4263646,-2448.000000,-851.000000,7698.000000,Neutral
Gyro,0.4263646,-20.200905,-23.954823,-12.663607,Neutral
Accel,0.4441575,-2301.000000,-470.000000,7304.000000,Neutral
Gyro,0.4441575,-19.820936,-23.781307,-12.692147,Neutral
Accel,0.4612067,-2081.000000,-212.000000,6569.000000,Neutral
Gyro,0.4781853,-19.162582,-23.558249,-13.120683,Neutral
Accel,0.4945629,-2261.000000,-1011.000000,5807.000000,Neutral
Gyro,0.4945629,-18.802401,-23.110874,-14.493160,Neutral
Accel,0.5118757,-3644.000000,-3484.000000,4703.000000,Neutral
Gyro,0.5286884,-18.646006,-22.827278,-15.752602,Neutral
Accel,0.5446284,-4706.000000,-5146.000000,4513.000000,Neutral
Gyro,0.5446284,-18.760471,-22.749571,-17.937418,Neutral
Accel,0.5815809,-3148.000000,-5815.000000,4573.000000,Neutral
Gyro,0.5815809,-18.439932,-23.060234,-19.227964,Neutral
Accel,0.5968808,-2286.000000,-5457.000000,4601.000000,Neutral
Gyro,0.5968808,-17.777399,-23.573942,-20.191927,Neutral
Accel,0.6099122,-1987.000000,-4778.000000,5486.000000,Neutral
Gyro,0.6283593,-16.613470,-23.652393,-20.401167,Neutral
Accel,0.6447043,-2205.000000,-4060.000000,6120.000000,Neutral
Gyro,0.6447043,-15.839803,-23.654028,-21.112188,Neutral
Accel,0.6617533,-2380.000000,-2886.000000,7233.000000,Neutral
Gyro,0.6793319,-14.764531,-23.741257,-21.966185,Neutral
Accel,0.6951194,-2287.000000,-2093.000000,7753.000000,Neutral
Gyro,0.6951194,-13.988768,-24.005877,-22.955635,Neutral
Accel,0.7123964,-2357.000000,-158.000000,8239.000000,Neutral
Gyro,0.7281501,-12.560597,-24.140072,-23.056004,Neutral
Accel,0.7455682,-2276.000000,2395.000000,8688.000000,Neutral
Gyro,0.7455682,-11.449344,-24.066092,-22.612043,Neutral
Accel,0.7815399,-2269.000000,6687.000000,9379.000000,Neutral
Gyro,0.7815399,-9.578137,-23.860832,-22.187437,Neutral
Accel,0.7973059,-2408.000000,9073.000000,9609.000000,Neutral
Gyro,0.7973059,-8.302489,-23.359236,-21.259684,Neutral
Accel,0.8106812,-2942.000000,10820.000000,9431.000000,Neutral
Gyro,0.8278676,-6.564431,-22.871651,-20.266626,Neutral
Accel,0.845096,-3489.000000,9909.000000,9061.000000,Neutral
Gyro,0.845096,-5.651858,-21.907230,-18.222958,Neutral
Accel,0.8622253,-4021.000000,7353.000000,9067.000000,Neutral
Gyro,0.8787057,-4.720461,-21.232384,-16.777586,Neutral
Accel,0.896047,-1863.000000,4843.000000,9393.000000,Neutral
Gyro,0.896047,-4.243337,-20.296431,-14.902838,Neutral
Accel,0.9118386,1111.000000,76.000000,9256.000000,Neutral
Gyro,0.9294291,-3.723179,-19.675997,-13.972733,Neutral
Accel,0.9451991,1740.000000,-3723.000000,8210.000000,Neutral
Gyro,0.9451991,-3.608229,-18.434774,-12.931734,Neutral
Accel,0.9622542,-2101.000000,-9982.000000,5732.000000,Neutral
Gyro,0.9982751,-3.689914,-17.256495,-12.533844,Neutral
Accel,0.9982751,-5405.000000,-12556.000000,5219.000000,Neutral
Gyro,0.9982751,-4.489933,-15.647576,-12.742016,Neutral
Accel,1.013796,-1491.000000,-11651.000000,6432.000000,Neutral
Gyro,1.013796,-5.984746,-15.734477,-13.517541,Neutral
Accel,1.046057,-679.000000,-9764.000000,6230.000000,Neutral
Gyro,1.046057,-6.671581,-17.155443,-14.379382,Neutral
Accel,1.061822,-863.000000,-2351.000000,6926.000000,Neutral
Gyro,1.079046,-7.078979,-17.852789,-14.415801,Neutral
Accel,1.096698,-793.000000,2434.000000,7841.000000,Neutral
Gyro,1.096698,-7.109452,-18.620281,-14.582116,Neutral
Accel,1.113369,-139.000000,5995.000000,8757.000000,Neutral
Gyro,1.113369,-7.323311,-19.194775,-14.643935,Neutral
Accel,1.147332,-14.000000,5420.000000,8649.000000,Neutral
Gyro,1.147332,-7.714449,-20.119781,-14.020416,Neutral
Accel,1.163414,-481.000000,2644.000000,7554.000000,Neutral
Gyro,1.163414,-8.659409,-20.593067,-13.218258,Neutral
Accel,1.202726,-998.000000,551.000000,6750.000000,Neutral
Gyro,1.202726,-9.204417,-20.987747,-12.279493,Neutral
Accel,1.21768,-233.000000,-1292.000000,5559.000000,Neutral
Gyro,1.21768,-9.563262,-21.153290,-12.433899,Neutral
Accel,1.248177,81.000000,-621.000000,5557.000000,Neutral
Gyro,1.248177,-9.285590,-21.324568,-14.087199,Neutral
Accel,1.266631,590.000000,-508.000000,5314.000000,Neutral
Gyro,1.266631,-8.564541,-21.220909,-15.900064,Neutral
Accel,1.283265,639.000000,-1631.000000,5464.000000,Neutral
Gyro,1.301569,-8.283954,-20.993855,-18.554461,Neutral
Accel,1.319611,-68.000000,-3561.000000,5892.000000,Neutral
Gyro,1.319611,-8.122645,-21.016121,-19.769066,Neutral
Accel,1.335166,-924.000000,-5665.000000,6292.000000,Neutral
Gyro,1.353285,-8.203506,-21.467188,-20.385561,Neutral
Accel,1.375174,-3368.000000,-10056.000000,6604.000000,Neutral
Gyro,1.375174,-9.053294,-21.955631,-20.035448,Neutral
Accel,1.412695,-1815.000000,-8141.000000,7371.000000,Neutral
Gyro,1.412695,-9.840030,-23.029509,-19.515944,Neutral
Accel,1.412695,-178.000000,-1968.000000,7528.000000,Neutral
Gyro,1.412695,-10.020206,-23.823441,-19.431488,Neutral
Accel,1.440412,-61.000000,2596.000000,7229.000000,Neutral
Gyro,1.440412,-9.696571,-23.888237,-18.875614,Neutral
Accel,1.475281,-484.000000,7360.000000,7373.000000,Neutral
Gyro,1.475281,-9.154778,-23.233768,-18.218338,Neutral
Accel,1.492757,44.000000,8720.000000,6599.000000,Neutral
Gyro,1.492757,-8.910333,-22.044603,-17.003918,Neutral
Accel,1.509976,-810.000000,9166.000000,6069.000000,Neutral
Gyro,1.526417,-8.490325,-21.196787,-15.986559,Neutral
Accel,1.543684,-2090.000000,8010.000000,5954.000000,Neutral
Gyro,1.543684,-8.133645,-19.552670,-14.343720,Neutral
Accel,1.560844,-1275.000000,4937.000000,6549.000000,Neutral
Gyro,1.576694,-7.682891,-18.477570,-13.377630,Neutral
Accel,1.614028,-576.000000,1463.000000,6536.000000,Neutral
Gyro,1.614028,-7.242230,-17.182549,-12.118080,Neutral
Accel,1.614028,-594.000000,-4105.000000,6681.000000,Neutral
Gyro,1.614028,-6.533112,-16.238884,-11.575384,Neutral
Accel,1.640021,-3734.000000,-7252.000000,7009.000000,Neutral
Gyro,1.640021,-6.220288,-14.554162,-12.082164,Neutral
Accel,1.67474,-6351.000000,-11510.000000,7431.000000,Neutral
Gyro,1.67474,-6.599802,-13.714476,-13.108965,Neutral
Accel,1.692011,-5259.000000,-11775.000000,8218.000000,Neutral
Gyro,1.692011,-6.968436,-13.916730,-14.021862,Neutral
Accel,1.726676,-4723.000000,-10763.000000,8581.000000,Neutral
Gyro,1.726676,-7.280065,-14.811915,-13.912597,Neutral
Accel,1.747169,-4245.000000,-9292.000000,7784.000000,Neutral
Gyro,1.747169,-7.621064,-16.154570,-13.281632,Neutral
Accel,1.771228,1217.000000,-3871.000000,7285.000000,Neutral
Gyro,1.771228,-7.712249,-16.962782,-12.977289,Neutral
Accel,1.783949,9455.000000,-3808.000000,7267.000000,Neutral
Gyro,1.813567,-7.343729,-18.142508,-12.605529,Neutral
Accel,1.813567,23674.000000,-8557.000000,8456.000000,Neutral
Gyro,1.813567,-6.451750,-18.537832,-11.957849,Neutral
Accel,1.84093,28723.000000,-7846.000000,7233.000000,Neutral
Gyro,1.84093,-6.151245,-18.023426,-11.317516,Neutral
Accel,1.87249,27498.000000,-3028.000000,2907.000000,Neutral
Gyro,1.87249,-5.155582,-16.988749,-11.589231,Neutral
Accel,1.887493,21710.000000,3934.000000,940.000000,Neutral
Gyro,1.887493,-4.352364,-13.844193,-12.584866,Neutral
Accel,1.919582,11601.000000,7937.000000,1029.000000,Neutral
Gyro,1.919582,-4.594508,-11.435000,-13.150300,Neutral
Accel,1.96423,5178.000000,5437.000000,910.000000,Shoot
Gyro,1.96423,-5.920663,-9.351481,-13.070343,Shoot
Accel,1.96423,-8941.000000,4831.000000,813.000000,Shoot
Gyro,1.96423,-8.764639,-9.310511,-13.256666,Shoot
Accel,1.983764,-16675.000000,9424.000000,1067.000000,Shoot
Gyro,2.003177,-11.221966,-11.122966,-17.239277,Shoot
Accel,2.029385,-28832.000000,20976.000000,1246.000000,Shoot
Gyro,2.029385,-17.419025,-13.899675,-23.136898,Shoot
Accel,2.045076,-27144.000000,16766.000000,-952.000000,Shoot
Gyro,2.045076,-22.814985,-20.076349,-33.424778,Shoot
Accel,2.059783,-25726.000000,-9456.000000,-836.000000,Neutral
Gyro,2.093228,-31.062357,-25.452982,-36.934464,Neutral
Accel,2.093228,-23457.000000,-6729.000000,8890.000000,Neutral
Gyro,2.093228,-36.388248,-34.632843,-41.479675,Neutral
Accel,2.114094,-13342.000000,5495.000000,15403.000000,Neutral
Gyro,2.114094,-38.879993,-39.638306,-46.697960,Neutral
Accel,2.147333,-13950.000000,4022.000000,11844.000000,Neutral
Gyro,2.147333,-36.205753,-42.410320,-48.735119,Neutral
Accel,2.163593,-17379.000000,1175.000000,3612.000000,Neutral
Gyro,2.163593,-29.376200,-40.888321,-43.870960,Neutral
Accel,2.195995,-17644.000000,5237.000000,906.000000,Neutral
Gyro,2.195995,-25.636518,-35.147442,-36.420631,Neutral
Accel,2.212353,-13387.000000,14061.000000,1121.000000,Neutral
Gyro,2.248396,-20.844109,-30.878424,-35.420471,Neutral
Accel,2.248396,-5536.000000,17643.000000,2526.000000,Neutral
Gyro,2.248396,-17.503853,-25.282803,-37.302792,Neutral
Accel,2.272918,-441.000000,18073.000000,5692.000000,Neutral
Gyro,2.272918,-12.796161,-22.123541,-37.482185,Neutral
Accel,2.272918,-1052.000000,13925.000000,5458.000000,Neutral
Gyro,2.294973,-10.660426,-17.789680,-33.799526,Neutral
Accel,2.337537,1416.000000,3755.000000,3915.000000,Neutral
Gyro,2.337537,-8.636809,-15.191227,-28.779388,Neutral
Accel,2.337537,4216.000000,704.000000,-45.000000,Neutral
Gyro,2.337537,-7.520261,-12.325178,-21.302486,Neutral
Accel,2.364703,3867.000000,7068.000000,706.000000,Neutral
Gyro,2.364703,-5.716715,-10.736494,-18.895700,Neutral
Accel,2.39198,3917.000000,4603.000000,-865.000000,Neutral
Gyro,2.39198,-4.368924,-7.545374,-17.549450,Neutral
Accel,2.42486,4891.000000,163.000000,-3398.000000,Neutral
Gyro,2.42486,-2.847019,-5.442245,-15.319879,Neutral
Accel,2.461159,2282.000000,-2054.000000,-2474.000000,Neutral
Gyro,2.461159,-2.491301,-3.002312,-10.408621,Neutral
Accel,2.461159,2751.000000,-7751.000000,843.000000,Neutral
Gyro,2.472166,-4.044754,-2.411417,-7.670542,Neutral
Accel,2.491031,-898.000000,-12807.000000,2671.000000,Neutral
Gyro,2.491031,-5.888142,-3.370853,-4.061652,Neutral
Accel,2.512684,-1803.000000,-13953.000000,3660.000000,Neutral
Gyro,2.525094,-8.464284,-4.714390,-1.951635,Neutral
Accel,2.537547,-3681.000000,-13907.000000,3828.000000,Neutral
Gyro,2.537547,-9.789028,-7.607360,0.003638,Neutral
Accel,2.573109,-3035.000000,-8852.000000,4236.000000,Neutral
Gyro,2.573109,-11.499560,-9.465584,0.505342,Neutral
Accel,2.589198,-2077.000000,-5674.000000,4811.000000,Neutral
Gyro,2.589198,-11.943248,-11.798592,0.809688,Neutral
Accel,2.620479,-3180.000000,-3252.000000,5239.000000,Neutral
Gyro,2.620479,-12.008230,-12.935890,1.191714,Neutral
Accel,2.634372,-3768.000000,-4044.000000,5269.000000,Neutral
Gyro,2.659812,-11.921044,-14.131577,2.224375,Neutral
Accel,2.669922,-4016.000000,-4171.000000,5399.000000,Neutral
Gyro,2.669922,-11.576281,-14.785951,2.879900,Neutral
Accel,2.693528,-2640.000000,-4437.000000,5359.000000,Neutral
Gyro,2.693528,-10.950324,-15.945743,2.616003,Neutral
Accel,2.721974,-1478.000000,-4438.000000,6491.000000,Neutral
Gyro,2.721974,-9.730227,-16.852612,1.359798,Neutral
Accel,2.736354,-179.000000,-4941.000000,7604.000000,Neutral
Gyro,2.748548,-8.865493,-18.102013,-1.731197,Neutral
Accel,2.763565,-929.000000,-8547.000000,8844.000000,Neutral
Gyro,2.763565,-7.708220,-18.945034,-3.651088,Neutral
Accel,2.802179,-2034.000000,-9282.000000,9050.000000,Neutral
Gyro,2.802179,-7.661896,-20.395470,-5.482238,Neutral
Accel,2.819323,-2906.000000,-10285.000000,8860.000000,Neutral
Gyro,2.819323,-8.319839,-21.532532,-6.179654,Neutral
Accel,2.837273,-2839.000000,-9608.000000,8808.000000,Neutral
Gyro,2.837273,-9.016289,-22.885088,-6.762915,Neutral
Accel,2.868261,-222.000000,-3888.000000,8377.000000,Neutral
Gyro,2.868261,-9.721409,-23.633213,-7.077534,Neutral
Accel,2.891846,699.000000,243.000000,8185.000000,Neutral
Gyro,2.891846,-9.614331,-24.362633,-7.546314,Neutral
Accel,2.925396,1405.000000,3029.000000,7631.000000,Neutral
Gyro,2.925396,-8.976894,-24.330097,-7.459162,Neutral
Accel,2.940662,904.000000,3350.000000,7713.000000,Neutral
Gyro,2.940662,-8.676804,-23.861101,-6.555508,Neutral
Accel,2.972038,1362.000000,3638.000000,8330.000000,Neutral
Gyro,2.972038,-8.669150,-23.506096,-5.871707,Neutral
Accel,2.988567,374.000000,2266.000000,8054.000000,Neutral
Gyro,2.988567,-8.670377,-22.883720,-4.997295,Neutral
Accel,3.019674,-519.000000,1121.000000,8401.000000,Neutral
Gyro,3.019674,-8.484957,-22.163868,-4.441777,Neutral
Accel,3.035902,-519.000000,-352.000000,9563.000000,Neutral
Gyro,3.035902,-8.110318,-20.930456,-4.022316,Neutral
Accel,3.088319,-768.000000,-5325.000000,11021.000000,Neutral
Gyro,3.088319,-7.826020,-20.165466,-4.067779,Neutral
Accel,3.088319,-999.000000,-9534.000000,11224.000000,Neutral
Gyro,3.088319,-7.932761,-19.083277,-4.501898,Neutral
Accel,3.112729,-4146.000000,-13547.000000,10761.000000,Neutral
Gyro,3.133618,-8.237066,-18.417971,-5.317513,Neutral
Accel,3.133618,-4080.000000,-12966.000000,10950.000000,Neutral
Gyro,3.155145,-8.598713,-17.597734,-7.363360,Neutral
