Type,Time,x,y,z,Action
Accel,0.2221561,-2791.000000,-1624.000000,5130.000000,Neutral
Gyro,0.2221561,170.043716,-23.842785,-12.266337,Neutral
Accel,0.2442936,-2850.000000,-1700.000000,4716.000000,Neutral
Gyro,0.2618372,169.764282,-23.881670,-12.230667,Neutral
Accel,0.2789222,-2880.000000,-1430.000000,4636.000000,Neutral
Gyro,0.2789222,169.556168,-23.904791,-12.218278,Neutral
Accel,0.2957649,-2843.000000,-1526.000000,4345.000000,Neutral
Gyro,0.2957649,169.158524,-23.948147,-12.206394,Neutral
Accel,0.3290956,-2784.000000,-1442.000000,4302.000000,Neutral
Gyro,0.3290956,168.776276,-24.092821,-12.063019,Neutral
Accel,0.3471292,-2290.000000,-1899.000000,3381.000000,Neutral
Gyro,0.3471292,168.105850,-24.222395,-12.007356,Neutral
Accel,0.3830994,-2192.000000,-1070.000000,3001.000000,Neutral
Gyro,0.3830994,167.669525,-24.398050,-11.959862,Neutral
Accel,0.4077536,-1406.000000,-2091.000000,2164.000000,Neutral
Gyro,0.4077536,167.108353,-24.460852,-11.983358,Neutral
Accel,0.4184632,-1017.000000,-4479.000000,1427.000000,Neutral
Gyro,0.4301786,166.761734,-24.446836,-11.317592,Neutral
Accel,0.4467868,-604.000000,-8612.000000,1337.000000,Neutral
Gyro,0.4467868,166.285873,-24.427689,-10.707897,Neutral
Accel,0.4805298,-745.000000,-10064.000000,1230.000000,Neutral
Gyro,0.4805298,166.065338,-24.409845,-10.783826,Neutral
Accel,0.4974099,-775.000000,-8864.000000,1448.000000,Neutral
Gyro,0.4974099,166.018661,-24.281582,-11.651419,Neutral
Accel,0.5308202,-1458.000000,-7011.000000,1617.000000,Neutral
Gyro,0.5308202,166.288803,-23.968699,-13.513001,Neutral
Accel,0.5470513,-1884.000000,-2274.000000,2690.000000,Neutral
Gyro,0.5470513,167.067719,-23.795277,-14.699790,Neutral
Accel,0.6013418,-2052.000000,872.000000,3612.000000,Neutral
Gyro,0.6013418,167.840042,-23.762436,-16.087189,Neutral
Accel,0.6013418,-2186.000000,4368.000000,5404.000000,Neutral
Gyro,0.6013418,169.304184,-23.885025,-16.491522,Neutral
Accel,0.6260191,-2792.000000,6786.000000,6552.000000,Neutral
Gyro,0.6260191,170.416306,-24.107632,-16.401030,Neutral
Accel,0.6484229,-3158.000000,9018.000000,7837.000000,Neutral
Gyro,0.6484229,172.252884,-24.162584,-15.969445,Neutral
Accel,0.6662163,-3562.000000,9137.000000,8480.000000,Neutral
Gyro,0.6831564,173.576691,-24.083042,-14.771417,Neutral
Accel,0.6995389,-3282.000000,6810.000000,9633.000000,Neutral
Gyro,0.6995389,175.567871,-23.875748,-13.746242,Neutral
Accel,0.7168083,-2663.000000,5007.000000,10220.000000,Neutral
Gyro,0.7325797,176.819550,-23.409119,-12.481615,Neutral
Accel,0.7498731,-2428.000000,639.000000,10734.000000,Neutral
Gyro,0.7498731,178.409348,-22.918510,-12.156596,Neutral
Accel,0.7662777,-4291.000000,-10450.000000,10085.000000,Neutral
Gyro,0.8029509,178.450348,-21.898581,-12.581131,Neutral
Accel,0.8029509,-11038.000000,-17278.000000,7495.000000,Neutral
Gyro,0.8029509,175.506485,-21.265432,-13.731212,Neutral
Accel,0.8279387,-11672.000000,-15454.000000,7379.000000,Neutral
Gyro,0.8279387,173.375748,-20.902771,-15.830735,Neutral
Accel,0.8518026,-8265.000000,-10545.000000,7890.000000,Neutral
Gyro,0.8518026,171.207764,-21.366226,-16.488461,Neutral
Accel,0.8690097,-5344.000000,-6256.000000,8499.000000,Neutral
Gyro,0.8690097,169.992752,-22.734381,-15.718401,Neutral
Accel,0.9031465,-3278.000000,-1292.000000,8802.000000,Neutral
Gyro,0.9031465,168.293549,-23.722992,-14.161024,Neutral
Accel,0.9190086,-1899.000000,769.000000,8362.000000,Neutral
Gyro,0.9190086,167.123337,-24.908907,-11.071321,Neutral
Accel,0.9522674,-877.000000,2075.000000,7643.000000,Neutral
Gyro,0.9522674,165.468994,-25.394133,-8.766725,Neutral
Accel,0.9698994,-123.000000,2922.000000,6695.000000,Neutral
Gyro,0.9698994,164.413177,-25.496838,-5.358004,Neutral
Accel,1.007971,82.000000,4385.000000,6104.000000,Neutral
Gyro,1.007971,163.206009,-25.317554,-3.444751,Neutral
Accel,1.0248,214.000000,4014.000000,5136.000000,Neutral
Gyro,1.0248,162.655258,-24.872128,-1.437358,Neutral
Accel,1.055099,-191.000000,2903.000000,3975.000000,Neutral
Gyro,1.055099,161.993896,-24.593958,-0.636972,Neutral
Accel,1.071948,-214.000000,1331.000000,3567.000000,Neutral
Gyro,1.071948,161.865082,-24.254021,-0.337259,Neutral
Accel,1.109676,1051.000000,-3236.000000,3058.000000,Neutral
Gyro,1.109676,162.024902,-24.138683,-0.520372,Neutral
Accel,1.126624,-634.000000,-22183.000000,1890.000000,Neutral
Gyro,1.126624,161.630600,-24.313139,-1.083617,Neutral
Accel,1.146553,-6369.000000,-30956.000000,-430.000000,Neutral
Gyro,1.146553,159.337601,-24.487976,-2.164742,Neutral
Accel,1.16344,-6572.000000,-27606.000000,-471.000000,Neutral
Gyro,1.182673,159.896973,-24.854719,-6.976890,Neutral
Accel,1.218569,-2991.000000,-17137.000000,657.000000,Neutral
Gyro,1.218569,162.688965,-24.976995,-10.546425,Neutral
Accel,1.218569,-2389.000000,-12100.000000,1170.000000,Neutral
Gyro,1.218569,164.816071,-25.010595,-13.426365,Neutral
Accel,1.240505,-1766.000000,-7033.000000,1775.000000,Neutral
Gyro,1.259282,168.156769,-25.036530,-13.877651,Neutral
Accel,1.274379,-2118.000000,-3450.000000,1902.000000,Neutral
Gyro,1.274379,170.428680,-25.027725,-14.047849,Neutral
Accel,1.291411,-3367.000000,3049.000000,2788.000000,Neutral
Gyro,1.310673,174.007507,-24.793713,-14.101141,Neutral
Accel,1.326584,-4137.000000,7380.000000,3663.000000,Neutral
Gyro,1.326584,176.411804,-24.270552,-14.479332,Neutral
Accel,1.343078,-4596.000000,12787.000000,5779.000000,Neutral
Gyro,1.359576,179.947388,-24.046118,-14.765619,Neutral
Accel,1.373414,-4725.000000,14307.000000,7174.000000,Neutral
Gyro,1.373414,-177.690643,-24.041935,-14.632073,Neutral
Accel,1.424042,-4428.000000,13689.000000,8907.000000,Neutral
Gyro,1.424042,-174.370087,-24.199932,-13.820286,Neutral
Accel,1.424042,-3868.000000,12541.000000,9959.000000,Neutral
Gyro,1.424042,-172.508072,-24.483116,-11.935135,Neutral
Accel,1.448768,-2397.000000,7820.000000,11117.000000,Neutral
Gyro,1.448768,-170.204727,-24.563099,-10.756451,Neutral
Accel,1.473816,-900.000000,6583.000000,12352.000000,Neutral
Gyro,1.473816,-169.015961,-24.389021,-9.986028,Neutral
Accel,1.508781,2751.000000,-4040.000000,15254.000000,Neutral
Gyro,1.508781,-168.586548,-24.152281,-11.260571,Neutral
Accel,1.525114,-188.000000,-11206.000000,14661.000000,Neutral
Gyro,1.525114,-170.962387,-23.624388,-15.048693,Neutral
Accel,1.559728,-5976.000000,-17093.000000,12307.000000,Neutral
Gyro,1.559728,-175.588394,-23.078089,-16.595926,Neutral
Accel,1.574543,-4953.000000,-15823.000000,12143.000000,Neutral
Gyro,1.574543,-177.300781,-22.699547,-16.348875,Neutral
Accel,1.629785,-2802.000000,-7086.000000,11932.000000,Neutral
Gyro,1.629785,-179.219635,-23.207989,-15.411246,Neutral
Accel,1.629785,-2007.000000,-1413.000000,11346.000000,Neutral
Gyro,1.629785,179.866440,-24.455111,-13.629459,Neutral
Accel,1.645372,-1683.000000,4319.000000,10705.000000,Neutral
Gyro,1.645372,178.760162,-25.026653,-12.329508,Neutral
Accel,1.679102,-882.000000,5164.000000,9221.000000,Neutral
Gyro,1.679102,178.058395,-25.365753,-9.848629,Neutral
Accel,1.69597,277.000000,5246.000000,7070.000000,Neutral
Gyro,1.69597,177.099121,-25.290892,-7.801064,Neutral
Accel,1.719999,-18.000000,4588.000000,5980.000000,Neutral
Gyro,1.719999,176.482117,-24.688873,-5.149459,Neutral
Accel,1.744905,-403.000000,4071.000000,4539.000000,Neutral
Gyro,1.744905,175.663467,-23.977842,-4.151166,Neutral
Accel,1.774258,-435.000000,2641.000000,4069.000000,Neutral
Gyro,1.774258,175.311172,-22.685112,-3.752978,Neutral
Accel,1.828793,263.000000,-3643.000000,2356.000000,Neutral
Gyro,1.828793,175.154404,-21.777195,-3.914209,Neutral
Accel,1.828793,1818.000000,-12379.000000,1066.000000,Neutral
Gyro,1.828793,175.180634,-20.616594,-4.176862,Neutral
Accel,1.846827,2699.000000,-26698.000000,899.000000,Neutral
Gyro,1.846827,174.161301,-20.193665,-4.720359,Neutral
Accel,1.871521,2292.000000,-27056.000000,91.000000,Neutral
Gyro,1.871521,173.443787,-20.212757,-7.961498,Neutral
Accel,1.905624,3055.000000,-23861.000000,-427.000000,Neutral
Gyro,1.905624,174.243637,-20.351732,-10.939396,Neutral
Accel,1.924259,2699.000000,-18702.000000,-807.000000,Neutral
Gyro,1.924259,175.321869,-20.274303,-13.867756,Neutral
Accel,1.957405,1316.000000,-8013.000000,-41.000000,Neutral
Gyro,1.957405,177.743454,-20.309246,-14.735592,Neutral
Accel,1.976418,360.000000,-1361.000000,829.000000,Neutral
Gyro,1.976418,179.751465,-20.412315,-15.395331,Neutral
Accel,2.006763,-1115.000000,5225.000000,2255.000000,Neutral
Gyro,2.006763,-177.037186,-20.347580,-15.557240,Neutral
Accel,2.044005,-2051.000000,8609.000000,3567.000000,Neutral
Gyro,2.044005,-174.982117,-20.094090,-15.723132,Neutral
Accel,2.044005,-3275.000000,11530.000000,5885.000000,Neutral
Gyro,2.044005,-172.306458,-19.982582,-16.055820,Neutral
Accel,2.0699,-4653.000000,12364.000000,7867.000000,Neutral
Gyro,2.091279,-170.906021,-19.936024,-16.646898,Neutral
Accel,2.091279,-5259.000000,12340.000000,9729.000000,Neutral
Gyro,2.108111,-169.080872,-19.988293,-16.684971,Neutral
Accel,2.12517,-4341.000000,11792.000000,11107.000000,Neutral
Gyro,2.12517,-167.691284,-20.204908,-16.086843,Neutral
Accel,2.141713,-1475.000000,12993.000000,13041.000000,Neutral
Gyro,2.157929,-165.384109,-20.300533,-15.916830,Neutral
Accel,2.174512,220.000000,14076.000000,14933.000000,Neutral
Gyro,2.174512,-163.855011,-19.981184,-16.818310,Neutral
Accel,2.191047,-9.000000,287.000000,17561.000000,Neutral
Gyro,2.208171,-163.819519,-19.389982,-17.643204,Neutral
Accel,2.251712,-3244.000000,-6197.000000,16815.000000,Neutral
Gyro,2.251712,-166.700439,-18.835682,-18.075232,Neutral
Accel,2.251712,-6344.000000,-13747.000000,15072.000000,Neutral
Gyro,2.251712,-171.100708,-19.070318,-17.921932,Neutral
Accel,2.275657,-6110.000000,-14540.000000,14129.000000,Neutral
Gyro,2.275657,-172.822037,-19.523508,-17.211657,Neutral
Accel,2.297672,-4699.000000,-8876.000000,12445.000000,Neutral
Gyro,2.297672,-174.977325,-19.885141,-16.473680,Neutral
Accel,2.314781,-3414.000000,-4336.000000,11422.000000,Neutral
Gyro,2.331588,-176.044250,-20.664337,-14.566700,Neutral
Accel,2.347823,-2935.000000,653.000000,10374.000000,Neutral
Gyro,2.347823,-177.368942,-21.185802,-12.736385,Neutral
Accel,2.379707,-2158.000000,1494.000000,8746.000000,Neutral
Gyro,2.379707,-178.257523,-21.766403,-9.114821,Neutral
Accel,2.396332,-1577.000000,2635.000000,7292.000000,Neutral
Gyro,2.396332,-179.601685,-21.912287,-6.305020,Neutral
Accel,2.41513,-1268.000000,2473.000000,6274.000000,Neutral
Gyro,2.448403,179.588440,-21.571751,-2.488106,Neutral
Accel,2.448403,-1433.000000,2051.000000,5374.000000,Neutral
Gyro,2.448403,178.701126,-21.096615,-0.449539,Neutral
Accel,2.473161,-967.000000,-302.000000,3950.000000,Neutral
Gyro,2.473161,178.318588,-20.240099,1.716290,Neutral
Accel,2.495469,663.000000,-4083.000000,3010.000000,Neutral
Gyro,2.51266,178.314331,-19.559561,2.738717,Neutral
Accel,2.53124,1681.000000,-8343.000000,2414.000000,Neutral
Gyro,2.53124,178.685059,-18.174711,3.156258,Neutral
Accel,2.545651,1172.000000,-26635.000000,2373.000000,Neutral
Gyro,2.545651,178.779556,-17.270212,2.459889,Neutral
Accel,2.577799,213.000000,-31951.000000,1743.000000,Neutral
Gyro,2.577799,177.704941,-16.332767,-0.141473,Neutral
Accel,2.609259,1476.000000,-25649.000000,1911.000000,Neutral
Gyro,2.609259,177.475616,-16.424902,-3.264315,Neutral
Accel,2.625275,1793.000000,-18892.000000,2342.000000,Neutral
Gyro,2.625275,178.580109,-17.044168,-7.874773,Neutral
Accel,2.660367,-390.000000,-9845.000000,2577.000000,Neutral
Gyro,2.660367,-179.394531,-17.181049,-9.571333,Neutral
Accel,2.684287,-1464.000000,-2581.000000,3369.000000,Neutral
Gyro,2.684287,-177.883835,-17.362724,-10.697516,Neutral
Accel,2.69205,-3404.000000,6278.000000,4630.000000,Neutral
Gyro,2.703646,-175.336212,-17.584179,-11.220184,Neutral
Accel,2.723446,-4091.000000,9787.000000,5085.000000,Neutral
Gyro,2.723446,-173.682724,-17.847740,-11.727419,Neutral
Accel,2.754497,1028.000000,477.000000,2016.000000,Neutral
Gyro,2.754497,-170.749084,-18.117661,-11.700153,Neutral
Accel,2.76886,16056.000000,-17957.000000,-3350.000000,Neutral
Gyro,2.76886,-168.196152,-18.463699,-11.124879,Neutral
Accel,2.802376,-27636.000000,-29533.000000,-10830.000000,Neutral
Gyro,2.802376,-161.700378,-18.259975,-12.000627,Neutral
Accel,2.82477,-31812.000000,-27333.000000,-8051.000000,Neutral
Gyro,2.82477,-154.247452,-13.398432,-19.936718,Neutral
Accel,2.860617,20754.000000,-20208.000000,7545.000000,Neutral
Gyro,2.860617,-140.026093,-5.943618,-29.255630,Neutral
Accel,2.870936,4474.000000,-12600.000000,19924.000000,Neutral
Gyro,2.870936,-130.803284,4.283299,-38.183304,Neutral
Accel,2.921338,-193.000000,1126.000000,19866.000000,Jump
Gyro,2.921338,-118.317642,5.849770,-37.671505,Jump
Accel,2.921338,-1317.000000,661.000000,18665.000000,Jump
Gyro,2.921338,-112.181320,0.628951,-30.595160,Jump
Accel,2.94522,-8209.000000,8175.000000,16947.000000,Jump
Gyro,2.953349,-105.234665,-3.046973,-25.633291,Jump
Accel,2.966755,-20449.000000,16991.000000,10789.000000,Jump
Gyro,2.980953,-101.136925,-2.736190,-23.898548,Jump
Accel,2.996516,32492.000000,23965.000000,6392.000000,Jump
