Type,Time,x,y,z,j
Gyro,0,34.219875,-16.869415,27.142918
Accel,0.02,502.000000,-1628.000000,-2668.000000,0
Gyro,0.02,34.212326,-16.827013,27.101522
Accel,0.02,541.000000,-1418.000000,-2656.000000,0
Gyro,0.02,34.253044,-16.799765,27.031982
Accel,0.02,571.000000,-1462.000000,-2677.000000,0
Gyro,0.02,34.293133,-16.816780,26.978888
Accel,0.02,627.000000,-1491.000000,-2686.000000,0
Gyro,0.02,34.324501,-16.825089,26.944027
Accel,0.02,580.000000,-1305.000000,-2625.000000,0
Gyro,0.02,34.376797,-16.826965,26.916256
Accel,0.02,623.000000,-1209.000000,-2645.000000,0
Gyro,0.02,34.412041,-16.836275,26.871645
Accel,0.02,650.000000,-1164.000000,-2619.000000,0
Gyro,0.02,34.433552,-16.849123,26.857307
Accel,0.02,660.000000,-1191.000000,-2776.000000,0
Gyro,0.02,34.456692,-16.840824,26.803682
Accel,0.02,699.000000,-1134.000000,-2602.000000,0
Gyro,0.02,34.461456,-16.844521,26.793839
Accel,0.02,696.000000,-1146.000000,-2504.000000,0
Gyro,0.02,34.448559,-16.839897,26.893415
Accel,0.02,562.000000,-1297.000000,-2578.000000,0
Gyro,0.02,34.431538,-16.813929,26.908152
Accel,0.02,532.000000,-1511.000000,-2599.000000,0
Gyro,0.02,34.419228,-16.790401,26.837175
Accel,0.02,508.000000,-1635.000000,-2573.000000,0
Gyro,0.02,34.411049,-16.773079,26.833649
Accel,0.02,557.000000,-1573.000000,-2750.000000,0
Gyro,0.02,34.424782,-16.750584,26.833075
Accel,0.02,655.000000,-1324.000000,-2835.000000,0
Gyro,0.02,34.468571,-16.733778,26.803253
Accel,0.02,563.000000,-1205.000000,-2556.000000,0
Gyro,0.02,34.502655,-16.733973,26.805944
Accel,0.02,645.000000,-1188.000000,-2828.000000,0
Gyro,0.02,34.502651,-16.729525,26.828163
Accel,0.02,486.000000,-1183.000000,-2693.000000,0
Gyro,0.02,34.491096,-16.718727,26.860302
Accel,0.02,578.000000,-1057.000000,-2659.000000,0
Gyro,0.02,34.473988,-16.731825,26.897125
Accel,0.02,558.000000,-1204.000000,-2768.000000,0
Gyro,0.0702747,34.438538,-16.759819,26.945862
Accel,0.0702747,648.000000,-1186.000000,-2586.000000,0
Gyro,0.0702747,34.363903,-16.773964,26.938524
Accel,0.0796956,672.000000,-954.000000,-2549.000000,0
Gyro,0.0879615,34.313881,-16.788601,26.950586
