Type,Time,x,y,z
Gyro,5.949633,137.503784,70.046989,-77.816200
Accel,5.970929,-8397.000000,1485.000000,6741.000000
Gyro,5.974219,122.292152,69.993629,-78.620209
Accel,5.99569,-7224.000000,869.000000,6593.000000
Gyro,5.999622,114.251610,70.045776,-78.814034
Accel,6.02105,-7111.000000,1926.000000,5843.000000
Gyro,6.025132,108.355286,70.190605,-78.274529
Accel,6.048633,-7419.000000,3205.000000,5743.000000
Gyro,6.053345,107.226517,70.541168,-78.025688
Accel,6.071572,-7301.000000,2978.000000,5770.000000
Gyro,6.075138,107.256500,70.863434,-77.726128
Accel,6.09704,-7290.000000,2745.000000,6013.000000
Gyro,6.101133,108.145897,71.400101,-75.860207
Accel,6.122482,-7029.000000,2837.000000,6646.000000
Gyro,6.126435,110.331429,71.701378,-73.777405
Accel,6.14792,-7273.000000,2615.000000,6438.000000
Gyro,6.151513,111.182861,72.057327,-70.149734
Accel,6.172747,-7878.000000,2106.000000,5996.000000
Gyro,6.176434,111.738091,72.172989,-68.098122
Accel,6.195306,-8234.000000,1649.000000,5849.000000
Gyro,6.19914,112.778664,72.242081,-65.394196
Accel,6.224036,-7426.000000,1940.000000,6291.000000
Gyro,6.227954,115.396484,72.229614,-63.279148
Accel,6.244509,-7504.000000,2005.000000,6511.000000
Gyro,6.248425,117.031303,72.229218,-59.197643
Accel,6.273075,-7673.000000,1558.000000,6456.000000
Gyro,6.276691,118.633293,72.183319,-56.410725
Accel,6.294222,-7151.000000,1359.000000,6219.000000
Gyro,6.298213,119.539116,72.101036,-52.577763
Accel,6.32339,-7684.000000,1667.000000,6048.000000
Gyro,6.32339,120.915329,71.988441,-50.430584
Accel,6.348764,-7188.000000,1946.000000,5877.000000
Gyro,6.348764,121.653099,71.936325,-47.372517
Accel,6.371078,-7371.000000,1340.000000,5676.000000
Gyro,6.375391,122.274445,71.855675,-45.480278
Accel,6.396895,-6731.000000,954.000000,5220.000000
Gyro,6.396895,122.555977,71.754974,-42.421005
Accel,6.425089,-7403.000000,1111.000000,4721.000000
Gyro,6.430033,122.819450,71.596611,-40.697552
Accel,6.446127,-6892.000000,869.000000,4643.000000
Gyro,6.450896,123.463730,71.473793,-38.227547
Accel,6.472569,-6422.000000,891.000000,4724.000000
Gyro,6.476226,124.810341,71.315262,-36.059464
Accel,6.497368,-6044.000000,599.000000,4710.000000
Gyro,6.502022,125.714523,71.027252,-32.597298
Accel,6.520638,-6865.000000,1747.000000,4195.000000
Gyro,6.524858,126.468971,70.807808,-30.815401
Accel,6.546522,-7052.000000,789.000000,3808.000000
Gyro,6.550344,126.746330,70.581139,-28.595068
Accel,6.57173,-6184.000000,830.000000,4248.000000
Gyro,6.575284,127.067772,70.394005,-26.706554
Accel,6.600194,-6507.000000,248.000000,4012.000000
Gyro,6.604162,127.092827,69.905731,-24.411871
Accel,6.622193,-6653.000000,573.000000,3948.000000
Gyro,6.626482,127.023468,69.643623,-23.242355
Accel,6.648352,-6188.000000,96.000000,3814.000000
Gyro,6.65212,126.990646,69.292938,-21.848969
Accel,6.670731,-6421.000000,207.000000,3829.000000
Gyro,6.674452,126.755623,69.054718,-20.935757
Accel,6.695951,-6215.000000,71.000000,3374.000000
Gyro,6.699923,126.441063,68.797569,-19.782549
Accel,6.721297,-6328.000000,-393.000000,3074.000000
Gyro,6.725348,126.053902,68.648636,-19.161833
Accel,6.747037,-6049.000000,-194.000000,2967.000000
Gyro,6.750773,125.992599,68.477783,-18.078903
Accel,6.771714,-6136.000000,-59.000000,2863.000000
Gyro,6.77527,125.763702,68.313965,-17.479227
Accel,6.796152,-6083.000000,-485.000000,2875.000000
Gyro,6.80014,125.574738,68.078133,-16.331463
Accel,6.828358,-6140.000000,-878.000000,2778.000000
Gyro,6.832349,125.299385,67.882515,-15.620487
Accel,6.849766,-6078.000000,-1054.000000,2669.000000
Gyro,6.849766,125.182892,67.574821,-14.543447
Accel,6.871404,-5917.000000,-739.000000,2718.000000
Gyro,6.874957,125.242432,67.341087,-13.825741
Accel,6.895976,-5784.000000,-542.000000,2643.000000
Gyro,6.900261,125.335220,67.005974,-12.538912
Accel,6.920665,-6091.000000,-50.000000,2387.000000
Gyro,6.924712,125.372124,66.794319,-11.776237
Accel,6.946013,-5662.000000,130.000000,2194.000000
Gyro,6.949687,125.546936,66.517967,-10.591948
Accel,6.974807,-5499.000000,-505.000000,2517.000000
Gyro,6.974807,125.625435,66.250977,-9.578563
Accel,6.996304,-6185.000000,-1413.000000,2379.000000
Gyro,7.00005,125.323318,65.830650,-8.558770
Accel,7.021821,-6156.000000,-2167.000000,1933.000000
Gyro,7.025896,124.862320,65.643234,-8.290442
Accel,7.045813,-5751.000000,-1742.000000,2053.000000
Gyro,7.050167,124.905334,65.327431,-7.898747
Accel,7.071712,-5505.000000,-901.000000,2148.000000
Gyro,7.07551,125.290726,65.064072,-7.424441
Accel,7.096855,-5375.000000,-791.000000,2055.000000
Gyro,7.100942,125.456886,64.673897,-6.280056
Accel,7.121771,-5454.000000,-1084.000000,1673.000000
Gyro,7.125922,125.508553,64.446632,-5.448847
Accel,7.14306,-5378.000000,-927.000000,1852.000000
Gyro,7.147633,125.564598,64.157661,-4.353857
Accel,7.17329,-5457.000000,-1129.000000,1669.000000
Gyro,7.177283,125.621788,63.910648,-3.763385
Accel,7.194514,-5205.000000,-1399.000000,1626.000000
Gyro,7.200149,125.635689,63.517735,-2.856942
Accel,7.220853,-5514.000000,-1615.000000,1784.000000
Gyro,7.224879,125.618683,63.242477,-2.243291
Accel,7.247859,-5483.000000,-1791.000000,1534.000000
Gyro,7.247859,125.486694,62.898651,-1.554681
Accel,7.272909,-5643.000000,-2546.000000,1497.000000
Gyro,7.277194,125.274734,62.694008,-1.262813
Accel,7.296126,-5123.000000,-2305.000000,1663.000000
Gyro,7.300207,125.203522,62.391468,-0.619290
Accel,7.328294,-5666.000000,-2219.000000,1159.000000
Gyro,7.328294,125.154678,62.203968,-0.304167
Accel,7.346984,-4779.000000,-2099.000000,1048.000000
Gyro,7.350843,125.225777,62.003677,0.460271
Accel,7.372139,-4973.000000,-1952.000000,1095.000000
Gyro,7.375833,125.393242,61.797108,0.905407
Accel,7.39729,-4662.000000,-1717.000000,849.000000
