Type,Time,x,y,z
Gyro,0.9751188,-80.164482,57.782612,30.757423
Accel,0.9958057,15721.000000,-6141.000000,-2084.000000
Gyro,1.001185,-79.822350,57.215683,28.644939
Accel,1.022934,17179.000000,-9878.000000,-6116.000000
Gyro,1.026839,-78.312820,56.769955,27.259724
Accel,1.044939,16566.000000,-10781.000000,-3650.000000
Gyro,1.048838,-77.286514,56.894688,28.581493
Accel,1.073153,16255.000000,-11921.000000,-767.000000
Gyro,1.076738,-75.886841,57.318516,29.894909
Accel,1.094064,12135.000000,-12437.000000,-132.000000
Gyro,1.098039,-74.287720,58.076881,31.253851
Accel,1.12204,10480.000000,-7341.000000,2409.000000
Gyro,1.125791,-70.564873,58.413197,32.723270
Accel,1.146937,14755.000000,-4362.000000,4606.000000
Gyro,1.151201,-66.614578,57.241020,34.441647
Accel,1.172076,14372.000000,1386.000000,4538.000000
Gyro,1.175455,-59.877007,54.617004,35.232796
Accel,1.195968,14772.000000,6727.000000,4540.000000
Gyro,1.2019,-55.855656,49.886826,35.348106
Accel,1.222044,16430.000000,10469.000000,2920.000000
Gyro,1.225676,-50.674137,47.030659,34.164673
Accel,1.247094,15144.000000,13746.000000,931.000000
Gyro,1.247094,-47.417683,43.406868,31.825312
Accel,1.271999,11102.000000,23987.000000,-3783.000000
Gyro,1.27596,-43.354282,41.305401,29.419243
Accel,1.296149,6773.000000,27801.000000,-6379.000000
Gyro,1.300611,-41.882690,39.163784,23.005865
Accel,1.322246,-10462.000000,29080.000000,-11097.000000
Gyro,1.32639,-40.645897,38.465939,16.699146
Accel,1.347965,-20932.000000,23116.000000,-25985.000000
Gyro,1.35184,-42.640545,36.670506,5.831388
Accel,1.372791,23198.000000,26306.000000,24809.000000
Gyro,1.376398,-54.259552,35.742977,-4.373651
Accel,1.39701,22884.000000,21968.000000,-29515.000000
Gyro,1.400425,-61.149979,37.108166,-27.503849
Accel,1.422225,915.000000,-24432.000000,21052.000000
Gyro,1.426357,-69.182732,34.353584,-38.041199
Accel,1.44447,5528.000000,-23997.000000,20282.000000
Gyro,1.448401,-72.512756,21.394396,-35.088200
Accel,1.473385,-5563.000000,22384.000000,-13103.000000
Gyro,1.477192,-65.051704,19.448343,-28.097273
Accel,1.498225,5509.000000,-25927.000000,-5232.000000
Gyro,1.502055,-57.163296,23.886028,-27.175442
Accel,1.522836,15370.000000,32244.000000,5130.000000
Gyro,1.526824,-53.212765,24.834623,-29.732367
Accel,1.543954,16568.000000,7379.000000,7016.000000
Gyro,1.547892,-55.327232,24.042912,-23.829107
Accel,1.572463,8898.000000,2263.000000,-1366.000000
Gyro,1.576,-58.717312,23.959557,-19.653921
Accel,1.600488,6014.000000,5641.000000,-9057.000000
Gyro,1.600488,-59.736019,26.212324,-20.731024
Accel,1.620143,7379.000000,8988.000000,-10049.000000
Gyro,1.624344,-58.696114,28.320257,-22.098057
Accel,1.646713,6629.000000,13780.000000,-7351.000000
Gyro,1.650946,-56.882526,31.009706,-21.079939
Accel,1.67161,7285.000000,15209.000000,-5736.000000
Gyro,1.675135,-54.118053,32.405258,-18.527008
Accel,1.694308,5254.000000,10855.000000,-5732.000000
Gyro,1.698326,-53.423206,33.988617,-12.289010
Accel,1.723092,-3341.000000,8827.000000,-9021.000000
Gyro,1.727013,-53.418282,34.918308,-7.535556
Accel,1.747719,-8482.000000,8542.000000,-10077.000000
Gyro,1.752101,-52.946964,36.554668,0.292167
Accel,1.770453,-10172.000000,8789.000000,-11362.000000
Gyro,1.774148,-50.149883,37.225330,6.455911
Accel,1.796442,-9564.000000,8933.000000,-10560.000000
Gyro,1.802479,-47.251240,37.296501,17.828194
Accel,1.820837,-7757.000000,14044.000000,-11846.000000
Gyro,1.825229,-42.015419,36.758186,25.240450
Accel,1.850229,-1209.000000,11785.000000,-11262.000000
Gyro,1.850229,-39.781925,35.073799,36.076229
Accel,1.871622,3464.000000,7502.000000,-10090.000000
Gyro,1.875236,-37.422264,34.367138,43.228367
Accel,1.896437,5549.000000,7852.000000,-8231.000000
Gyro,1.900374,-36.179844,33.552795,54.388107
Accel,1.92159,7089.000000,2929.000000,-3996.000000
Gyro,1.925677,-36.182022,32.914230,61.010017
Accel,1.944199,8581.000000,-5556.000000,3615.000000
Gyro,1.948378,-36.796173,33.676815,71.119812
Accel,1.973063,12155.000000,-9795.000000,12039.000000
Gyro,1.976871,-36.319813,34.866154,78.196632
Accel,1.994501,15590.000000,-771.000000,15517.000000
Gyro,1.998429,-36.557735,34.946541,84.372375
Accel,2.023312,18820.000000,3740.000000,22032.000000
Gyro,2.027246,-37.115082,34.989552,84.736366
Accel,2.045766,22789.000000,8288.000000,25350.000000
Gyro,2.049584,-36.455055,35.301353,85.293518
Accel,2.071393,23621.000000,6966.000000,19986.000000
Gyro,2.074894,-34.651550,33.927456,84.684761
Accel,2.095714,22274.000000,2278.000000,11742.000000
Gyro,2.0995,-35.616089,31.138105,83.943604
Accel,2.120709,12238.000000,-2392.000000,12574.000000
Gyro,2.124719,-41.228329,32.389664,84.237900
Accel,2.145464,22934.000000,-3256.000000,20336.000000
Gyro,2.149137,-47.546375,36.871895,82.235535
Accel,2.173517,20137.000000,-8691.000000,19961.000000
Gyro,2.177207,-58.354729,40.379150,78.520615
Accel,2.195918,16853.000000,-11791.000000,13566.000000
Gyro,2.199755,-64.137756,47.107132,72.939240
Accel,2.223023,17480.000000,-6986.000000,12327.000000
Gyro,2.227168,-69.068993,51.104752,69.906708
Accel,2.245419,15152.000000,-1365.000000,10301.000000
Gyro,2.249442,-69.874359,53.995518,65.823502
Accel,2.273502,6013.000000,1898.000000,7155.000000
Gyro,2.277245,-68.950645,54.627346,64.590050
Accel,2.295545,5532.000000,2055.000000,9026.000000
Gyro,2.299355,-68.289543,54.906616,65.238983
Accel,2.321438,7516.000000,1056.000000,10800.000000
Gyro,2.325546,-67.869080,54.296974,65.447655
Accel,2.344169,5177.000000,1025.000000,10638.000000
Gyro,2.348109,-67.715057,53.176849,64.952942
Accel,2.372417,2607.000000,761.000000,10765.000000
Gyro,2.376253,-68.090004,52.758999,64.615845
Accel,2.394453,3795.000000,-474.000000,10732.000000
Gyro,2.398037,-68.736710,52.502262,63.674076
Accel,2.42298,4477.000000,521.000000,10740.000000
Gyro,2.427022,-69.762131,52.339912,62.652184
Accel,2.445867,3650.000000,1624.000000,10203.000000
Gyro,2.449709,-70.454460,52.215683,61.134216
Accel,2.479333,4004.000000,990.000000,9514.000000
Gyro,2.483197,-72.153214,52.474548,60.485954
Accel,2.494186,4896.000000,1372.000000,9042.000000
Gyro,2.498179,-73.885742,53.598591,59.443123
Accel,2.522873,5901.000000,-22.000000,8837.000000
Gyro,2.527476,-76.711052,54.910480,58.067509
Accel,2.545628,11384.000000,-4576.000000,8900.000000
Gyro,2.549573,-78.511185,57.304588,55.588467
Accel,2.574848,17531.000000,-7689.000000,10351.000000
Gyro,2.574848,-80.563393,58.733322,53.833538
Accel,2.596187,18477.000000,-7585.000000,11954.000000
Gyro,2.600147,-81.093651,60.703369,50.489788
Accel,2.621706,18287.000000,-10391.000000,10633.000000
Gyro,2.625644,-80.952293,62.093136,48.930248
Accel,2.644325,17236.000000,-13367.000000,8184.000000
Gyro,2.648424,-79.385460,64.833199,49.946976
Accel,2.673431,14473.000000,-9573.000000,9848.000000
Gyro,2.677094,-76.036194,66.647980,54.716721
Accel,2.694564,16797.000000,-7355.000000,11452.000000
Gyro,2.69872,-73.633522,67.605942,62.880783
Accel,2.722886,9612.000000,-2495.000000,9160.000000
Gyro,2.727014,-69.916977,67.295975,67.705643
Accel,2.748213,11415.000000,-3861.000000,8889.000000
Gyro,2.751793,-67.565758,66.447739,75.451118
Accel,2.772766,12316.000000,-6030.000000,9444.000000
Gyro,2.776465,-64.675529,64.923332,78.523598
Accel,2.793941,12201.000000,-2162.000000,8755.000000
Gyro,2.797904,-63.672157,62.380363,80.160057
Accel,2.821706,12429.000000,7726.000000,4932.000000
Gyro,2.825547,-63.191593,61.130112,78.691795
Accel,2.847347,15454.000000,18357.000000,1524.000000
Gyro,2.85135,-63.050316,59.619579,72.356888
Accel,2.875929,8909.000000,24918.000000,-2039.000000
Gyro,2.88,-63.621956,58.323429,65.809090
Accel,2.901329,-7738.000000,25403.000000,-3483.000000
Gyro,2.901329,-66.228188,56.532196,54.578041
Accel,2.92167,27151.000000,19314.000000,-19223.000000
Gyro,2.926387,-74.059174,55.847576,44.171722
Accel,2.945743,19380.000000,-1339.000000,30071.000000
Gyro,2.949849,-80.695160,54.792362,26.675053
Accel,2.972286,23179.000000,16054.000000,-16935.000000
Gyro,2.976146,-89.308594,53.390476,11.972605
Accel,2.997927,-7656.000000,-12184.000000,5379.000000
Gyro,3.001675,-93.528252,49.056965,-15.425838
Accel,3.023063,-18450.000000,-27912.000000,12426.000000
Gyro,3.02707,-99.689735,42.371037,-23.645786
Accel,3.045882,-9602.000000,-4231.000000,-13888.000000
Gyro,3.049966,-95.596245,41.187645,-20.868782
Accel,3.071629,8139.000000,-29572.000000,1695.000000
Gyro,3.075278,-85.526840,42.021923,-15.229893
Accel,3.096746,14746.000000,-29956.000000,8480.000000
Gyro,3.100682,-79.977386,39.695820,-12.896270
Accel,3.125092,13271.000000,15639.000000,7482.000000
Gyro,3.129409,-78.781738,37.542805,-9.048491
Accel,3.147145,5456.000000,-945.000000,1757.000000
Gyro,3.150842,-81.197189,37.680351,-2.479169
Accel,3.17209,918.000000,-3048.000000,-7651.000000
Gyro,3.175439,-83.864601,39.853333,-0.745364
Accel,3.197412,1079.000000,791.000000,-9105.000000
Gyro,3.197412,-83.450928,42.930725,-1.078765
Accel,3.220849,942.000000,3838.000000,-7191.000000
Gyro,3.224631,-80.758942,43.901398,0.384740
Accel,3.250038,-2907.000000,5432.000000,-6287.000000
Gyro,3.254084,-78.416786,44.100849,5.852575
Accel,3.271827,-8886.000000,8988.000000,-6921.000000
Gyro,3.275231,-74.052544,44.047680,11.098985
Accel,3.296476,-8423.000000,8862.000000,-8986.000000
Gyro,3.300553,-70.425583,43.884857,21.816614
Accel,3.323947,-10951.000000,9560.000000,-9049.000000
Gyro,3.329028,-64.101929,43.070747,30.426289
Accel,3.347416,-8491.000000,6991.000000,-5453.000000
Gyro,3.347416,-59.895882,41.464767,43.629135
Accel,3.37299,3686.000000,3490.000000,-8425.000000
Gyro,3.376904,-52.645817,40.852558,52.073990
Accel,3.397802,1966.000000,9926.000000,-6437.000000
Gyro,3.397802,-48.589657,39.396236,64.486519
Accel,3.420729,5504.000000,7030.000000,3071.000000
Gyro,3.425651,-45.263798,37.938652,69.503662
Accel,3.447629,6826.000000,-5208.000000,3765.000000
Gyro,3.454556,-42.823055,37.873703,75.864182
Accel,3.476345,8584.000000,-9435.000000,798.000000
Gyro,3.476345,-40.690643,38.683830,82.292496
Accel,3.497933,4334.000000,-1281.000000,6385.000000
Gyro,3.497933,-41.115856,40.605934,89.841408
Accel,3.523843,5913.000000,-1164.000000,22759.000000
Gyro,3.527588,-40.863945,137.789764,91.971176
Accel,3.546274,8958.000000,-6318.000000,25911.000000
Gyro,3.550554,-40.942051,136.908295,93.264221
Accel,3.571947,10548.000000,-1173.000000,25195.000000
Gyro,3.576104,-48.463409,137.015289,92.472298
Accel,3.597235,15213.000000,6205.000000,31949.000000
Gyro,3.601107,-55.664253,44.540455,85.987808
Accel,3.622044,21503.000000,-3209.000000,24745.000000
Gyro,3.626214,-65.548492,43.421707,78.916000
Accel,3.646909,21871.000000,1314.000000,19964.000000
Gyro,3.651201,-73.697533,41.681259,71.152115
Accel,3.672903,15604.000000,-7738.000000,13155.000000
Gyro,3.676548,-84.122147,45.124992,64.798180
