x,y,z,yaw,pitch,roll,action
-130.0,-313.0,1143.0,-100.38131,-33.472687,-10.561389,Neutral
47.0,-851.0,1371.0,-100.372993,-33.663681,-10.602902,Neutral
152.0,-1296.0,1619.0,-100.289032,-33.863827,-10.519763,Neutral
253.0,-1047.0,1539.0,-100.189316,-34.111889,-10.571197,Neutral
-91.0,-1327.0,1302.0,-100.015129,-34.245224,-10.768725,Neutral
26.0,-662.0,1511.0,-99.865784,-34.412014,-11.165187,Neutral
49.0,-288.0,1270.0,-99.690033,-34.510258,-11.490086,Neutral
135.0,119.0,1358.0,-99.626839,-34.644436,-11.760652,Neutral
0.0,-336.0,1525.0,-99.675156,-34.741989,-11.810613,Neutral
-2.0,-187.0,1557.0,-99.759407,-34.908691,-11.77023,Neutral
44.0,476.0,1778.0,-99.928505,-34.982525,-11.744815,Neutral
326.0,404.0,1785.0,-100.09951,-35.05891,-11.557998,Neutral
538.0,-281.0,1308.0,-100.430649,-35.072037,-11.253084,Neutral
472.0,-719.0,357.0,-100.679382,-34.984264,-10.885685,Neutral
842.0,-824.0,-2052.0,-100.889877,-34.829205,-10.843301,Neutral
491.0,-405.0,-3444.0,-100.877296,-34.520588,-11.239462,Neutral
404.0,1055.0,-4005.0,-100.623131,-34.321804,-11.675385,Neutral
639.0,1997.0,-3086.0,-100.400627,-34.329033,-12.150733,Neutral
679.0,3078.0,-1379.0,-100.201996,-34.669376,-12.299812,Neutral
915.0,3181.0,-80.0,-100.319389,-35.537464,-12.375931,Neutral
1161.0,-805.0,1294.0,-100.737839,-36.267536,-12.105637,Neutral
1310.0,-5157.0,1417.0,-101.148224,-37.336975,-11.158443,Neutral
544.0,-9431.0,986.0,-101.969955,-37.975212,-10.639338,Neutral
-147.0,-6955.0,1353.0,-102.313644,-38.506874,-11.147772,Neutral
-301.0,-1834.0,2872.0,-102.179604,-38.579395,-12.258148,Neutral
-125.0,964.0,4691.0,-102.020905,-38.644588,-13.176026,Neutral
-61.0,4004.0,7015.0,-101.850235,-38.737404,-12.703619,Neutral
-661.0,3868.0,7347.0,-101.873871,-38.85873,-10.77341,Neutral
-649.0,2938.0,7478.0,-101.76252,-38.845573,-9.000352,Neutral
19.0,2699.0,7700.0,-101.460327,-38.757488,-6.54014,Neutral
1543.0,1378.0,6663.0,-100.781349,-38.702629,-5.372081,Neutral
1458.0,-15.0,5678.0,-100.233063,-38.366882,-4.396884,Neutral
