Type,Time,x,y,z,Action
Accel,0.1111992,-4240.000000,-2312.000000,9365.000000,Neutral
Gyro,0.1111992,-27.821888,-21.764914,-11.523044,Neutral
Accel,0.1290694,-4201.000000,-2368.000000,9309.000000,Neutral
Gyro,0.1540773,-27.850920,-21.824577,-11.490270,Neutral
Accel,0.1540773,-4176.000000,-2321.000000,9392.000000,Neutral
Gyro,0.1786212,-27.876970,-21.928011,-11.424898,Neutral
Accel,0.1786212,-3996.000000,-2506.000000,9499.000000,Neutral
Gyro,0.1886818,-27.951544,-21.999256,-11.378624,Neutral
Accel,0.2013401,-4143.000000,-2858.000000,9419.000000,Neutral
Gyro,0.2183978,-27.991753,-22.098726,-11.291470,Neutral
Accel,0.238263,-4153.000000,-2890.000000,9574.000000,Neutral
Gyro,0.238263,-28.035551,-22.138733,-11.254321,Neutral
Accel,0.2537326,-4072.000000,-2744.000000,9409.000000,Neutral
Gyro,0.2712052,-28.053211,-22.167459,-11.265108,Neutral
Accel,0.2884792,-4059.000000,-2425.000000,9533.000000,Neutral
Gyro,0.2884792,-28.053381,-22.172173,-11.276917,Neutral
Accel,0.3035869,-3946.000000,-2435.000000,9445.000000,Neutral
Gyro,0.3201558,-28.066305,-22.173414,-11.284171,Neutral
Accel,0.337693,-3988.000000,-2634.000000,9249.000000,Neutral
Gyro,0.337693,-28.090595,-22.188690,-11.280348,Neutral
Accel,0.3742622,-4069.000000,-2741.000000,9430.000000,Neutral
Gyro,0.3742622,-28.112059,-22.246403,-11.236532,Neutral
Accel,0.3919157,-4058.000000,-2648.000000,9434.000000,Neutral
Gyro,0.3919157,-28.142353,-22.289997,-11.227738,Neutral
Accel,0.4024266,-3988.000000,-2589.000000,9330.000000,Neutral
Gyro,0.4161108,-28.148199,-22.355371,-11.220588,Neutral
Accel,0.4341092,-4004.000000,-2557.000000,9633.000000,Neutral
Gyro,0.4341092,-28.168030,-22.410170,-11.211823,Neutral
Accel,0.4681735,-4033.000000,-2562.000000,9477.000000,Neutral
Gyro,0.4681735,-28.184381,-22.488201,-11.205128,Neutral
Accel,0.4837909,-3970.000000,-2521.000000,9568.000000,Neutral
Gyro,0.4837909,-28.219416,-22.530338,-11.195889,Neutral
Accel,0.5181303,-3958.000000,-2668.000000,9635.000000,Neutral
Gyro,0.5181303,-28.234932,-22.592945,-11.204995,Neutral
Accel,0.5333778,-3952.000000,-2703.000000,9528.000000,Neutral
Gyro,0.5333778,-28.272568,-22.628363,-11.197083,Neutral
Accel,0.5869274,-4041.000000,-2459.000000,9572.000000,Neutral
Gyro,0.5869274,-28.298279,-22.655455,-11.202028,Neutral
Accel,0.5869274,-4058.000000,-2507.000000,9400.000000,Neutral
Gyro,0.5869274,-28.342131,-22.675224,-11.216770,Neutral
Accel,0.6120522,-4026.000000,-2451.000000,9586.000000,Neutral
Gyro,0.6120522,-28.374882,-22.704433,-11.189641,Neutral
Accel,0.6327475,-3978.000000,-2618.000000,9447.000000,Neutral
Gyro,0.6327475,-28.438831,-22.733011,-11.170954,Neutral
Accel,0.6514864,-3777.000000,-2612.000000,9476.000000,Neutral
