x,z,yaw,pitch,roll,action
406.000000,19.000000,-2.487548,-0.226542,1.117573
243.000000,101.000000,-2.417271,-0.241389,1.124616
179.000000,348.000000,-2.332343,-0.276597,1.146201
55.000000,501.000000,-2.282754,-0.367485,1.189830
127.000000,475.000000,-2.218977,-0.423517,1.211782
123.000000,622.000000,-2.176594,-0.500834,1.227049
269.000000,464.000000,-2.127556,-0.535983,1.241529
283.000000,332.000000,-2.092453,-0.543380,1.248435
413.000000,288.000000,-2.058039,-0.522754,1.247813
465.000000,170.000000,-2.044473,-0.474190,1.246774
471.000000,84.000000,-2.024124,-0.439506,1.239097
641.000000,112.000000,-2.010338,-0.391158,1.217172
483.000000,248.000000,-1.989519,-0.370205,1.223749
499.000000,327.000000,-1.961431,-0.356445,1.223441
321.000000,379.000000,-1.905644,-0.363497,1.237466
302.000000,433.000000,-1.870870,-0.357345,1.223195
220.000000,367.000000,-1.822232,-0.343849,1.215869
202.000000,379.000000,-1.780422,-0.316398,1.215283
154.000000,205.000000,-1.732018,-0.282299,1.186581
222.000000,234.000000,-1.753110,-0.233963,1.178732
416.000000,372.000000,-1.795593,-0.212231,1.213414
396.000000,295.000000,-1.817283,-0.155512,1.233584
394.000000,27.000000,-1.832398,-0.092795,1.204637
390.000000,23.000000,-1.832964,0.011462,1.154018
294.000000,-70.000000,-1.833594,0.067181,1.139138
258.000000,161.000000,-1.826827,0.130341,1.152118
330.000000,265.000000,-1.848581,0.151583,1.172772
146.000000,307.000000,-1.855920,0.194105,1.193117
230.000000,147.000000,-1.863251,0.228918,1.178553
144.000000,311.000000,-1.870489,0.263729,1.163985
218.000000,431.000000,-1.905897,0.285120,1.184607
158.000000,371.000000,-1.927459,0.321256,1.232887
-50.000000,57.000000,-1.935453,0.370899,1.259978
125.000000,63.000000,-1.908267,0.461883,1.258430
222.000000,-88.000000,-1.902421,0.531507,1.257393
131.000000,-191.000000,-1.909977,0.616150,1.305001
135.000000,-53.000000,-1.938267,0.651769,1.339351
87.000000,20.000000,-1.945304,0.666663,1.373919
59.000000,144.000000,-1.952256,0.660222,1.401966
74.000000,212.000000,-1.938344,0.640154,1.451228
96.000000,278.000000,-1.932331,0.633569,1.486390
42.000000,58.000000,-1.925902,0.669066,1.520905
16.000000,-87.000000,-1.940817,0.710931,1.520253
156.000000,-177.000000,-1.969410,0.781042,1.518996
322.000000,31.000000,-2.011814,0.816846,1.546181
48.000000,78.000000,-2.060920,0.845618,1.559376
147.000000,118.000000,-2.123496,0.853518,1.572865
-80.000000,84.000000,-2.136980,0.840006,1.551657
-262.000000,-15.000000,-2.108284,0.818574,1.516971
-415.000000,15.000000,-2.072774,0.782358,1.468860
-347.000000,48.000000,-2.036946,0.746577,1.448751
-309.000000,38.000000,-2.043481,0.669588,1.471317
-373.000000,24.000000,-2.098780,0.621468,1.514095
-267.000000,-20.000000,-2.147437,0.579993,1.500553
-35.000000,91.000000,-2.231304,0.566255,1.479574
93.000000,-157.000000,-2.294548,0.573918,1.458025
185.000000,-459.000000,-2.378931,0.602681,1.457140
133.000000,-540.000000,-2.414618,0.672078,1.378322
124.000000,-564.000000,-2.463438,0.720317,1.321227
24.000000,-458.000000,-2.497961,0.733817,1.271660
6.000000,-155.000000,-2.538965,0.712468,1.236916
-27.000000,68.000000,-2.566197,0.629009,1.238490
-56.000000,278.000000,-2.600123,0.559697,1.253869
-124.000000,329.000000,-2.627679,0.469178,1.255740
-90.000000,387.000000,-2.697297,0.434521,1.256416
-12.000000,385.000000,-2.788217,0.414306,1.256624
-10.000000,438.000000,-2.984945,0.422794,1.277077
18.000000,449.000000,-3.125963,0.475194,1.324048
-112.000000,434.000000,-3.406976,0.540505,1.349763
-391.000000,498.000000,-3.666397,0.629336,1.401877
-231.000000,920.000000,-4.136231,0.662678,1.469454
-410.000000,468.000000,-4.451650,0.679217,1.564399
-2141.000000,249.000000,-4.820160,0.697506,1.562016
-459.000000,236.000000,-4.913652,0.538032,1.475625
-412.000000,574.000000,-5.239221,0.230933,1.467310
-745.000000,594.000000,-5.504068,-0.071351,1.347633
-648.000000,254.000000,-5.839846,-0.150441,1.239658
-338.000000,-233.000000,-6.105905,-0.375117,1.020694
-629.000000,-1501.000000,-6.595141,-0.603512,0.634593
-1129.000000,-1901.000000,-6.808257,-0.806347,-0.254833
-204.000000,-890.000000,-6.966382,-0.788627,-0.772962
1090.000000,-1085.000000,-7.191590,-0.881539,-1.361997
2475.000000,-1782.000000,-7.711166,-0.829303,-1.489940
3762.000000,-1923.000000,-7.943728,-0.464849,-1.489967
4525.000000,-2731.000000,-8.171937,-0.089056,-1.585361
4255.000000,-3574.000000,-8.323042,0.743916,-2.339571
2279.000000,-4440.000000,-8.602460,1.421351,-3.092595
-467.000000,-3570.000000,-8.810782,2.413257,-4.220768
-3352.000000,-1185.000000,-9.587650,2.808642,-4.616723
-4129.000000,-1740.000000,-10.279996,2.704810,-3.693373
-6092.000000,-2043.000000,-10.783977,2.547203,-2.430419
-6036.000000,-1486.000000,-10.737290,2.361327,-1.404526
-6554.000000,-451.000000,-10.597638,2.043640,-0.979547
-7197.000000,200.000000,-10.443426,1.311868,0.208595
-5328.000000,2270.000000,-9.863503,0.695813,1.313160
-2322.000000,4489.000000,-9.348814,-0.389334,3.530450
3426.000000,6212.000000,-8.995719,-1.030728,5.527131
5175.000000,5732.000000,-9.230391,-1.543228,8.928812
3404.000000,3107.000000,-10.185637,-1.290517,10.201080
3575.000000,2655.000000,-10.672190,-0.684642,9.611405
